game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
400817523,20151115,2016,2,False,False,11590,Value City Arena,True,Ohio State Buckeyes,194,76,99,Mount St. Mary's Mountaineers,116,54,99,home,130,22
400827680,20151115,2016,2,False,False,3537,Jersey Mike’s Arena,True,Rutgers Scarlet Knights,164,82,99,Howard Bison,47,70,99,home,152,12
400820661,20151115,2016,2,False,False,3247,Sojka Pavilion,True,Bucknell Bison,2083,82,99,Wake Forest Demon Deacons,154,90,99,away,172,8
400827770,20151115,2016,2,False,False,1800,Walsh Gymnasium,True,Seton Hall Pirates,2550,69,99,Wagner Seahawks,2681,59,99,home,128,10
400841545,20151115,2016,2,True,False,0,NIU Convocation Center,True,South Dakota Coyotes,233,76,99,Cal State Northridge Matadors,2463,72,99,home,148,4
400841117,20151115,2016,2,False,False,1450,Kirby Sports Center,True,Lafayette Leopards,322,87,99,Saint Peter's Peacocks,2612,86,99,home,173,1
400825531,20151115,2016,2,False,False,6262,Bon Secours Wellness Arena,True,Clemson Tigers,228,78,99,UTSA Roadrunners,2636,45,99,home,123,33
400820606,20151115,2016,2,False,False,6292,Fifth Third Arena,True,Cincinnati Bearcats,2132,106,99,Robert Morris Colonials,2523,44,99,home,150,62
400816742,20151115,2016,2,False,False,2550,Events Center (Binghamton),True,Binghamton Bearcats,2066,60,99,Army Black Knights,349,75,99,away,135,15
400809344,20151115,2016,2,False,False,12808,Mackey Arena,True,Purdue Boilermakers,2509,107,99,Vermont Catamounts,261,79,99,home,186,28
400841986,20151115,2016,2,False,False,2769,Athletics-Recreation Center,True,Valparaiso Beacons,2674,83,99,Iona Gaels,314,58,99,home,141,25
400845544,20151115,2016,2,False,False,1004,Pete Mathews Coliseum,True,Jacksonville State Gamecocks,55,81,99,Fort Valley State Wildcats,2232,68,99,home,149,13
400843835,20151115,2016,2,False,False,3893,Ford Center,True,Evansville Purple Aces,339,80,99,Southeast Missouri State Redhawks,2546,65,99,home,145,15
400833190,20151115,2016,2,False,False,827,Trojan Arena,True,Troy Trojans,2653,97,99,Reinhardt Eagles,2890,82,99,home,179,15
400833165,20151115,2016,2,False,False,9915,Williams Arena,True,Minnesota Golden Gophers,135,67,99,UL Monroe Warhawks,2433,56,99,home,123,11
400830520,20151115,2016,2,True,False,0,Leavey Center,True,Denver Pioneers,2172,82,99,Lipscomb Bisons,288,69,99,home,151,13
400825728,20151115,2016,2,False,False,6094,Tucker Center,True,Florida State Seminoles,52,109,99,Nicholls Colonels,2447,62,99,home,171,47
400820706,20151115,2016,2,True,False,5332,Prairie Capital Convention Center,True,Illinois Fighting Illini,356,80,99,North Dakota State Bison,2449,74,99,home,154,6
400840810,20151115,2016,2,False,False,1237,Millis Athletic and Convocation Center,True,High Point Panthers,2272,93,99,NC Wesleyan Battling Bishops,286,69,99,home,162,24
400820654,20151115,2016,2,False,False,13178,Dean E. Smith Center,True,North Carolina Tar Heels,153,92,99,Fairfield Stags,2217,65,99,home,157,27
400818718,20151115,2016,2,False,False,1246,The Palestra,True,Pennsylvania Quakers,219,77,99,Central Connecticut Blue Devils,2115,61,99,home,138,16
400817389,20151115,2016,2,False,False,4119,Banterra Center,True,Southern Illinois Salukis,79,81,99,Florida A&M Rattlers,50,51,99,home,132,30
400840880,20151115,2016,2,False,False,1113,Ramsey Center,True,Western Carolina Catamounts,2717,90,99,UNC Asheville Bulldogs,2427,81,99,home,171,9
400839819,20151115,2016,2,False,False,888,NIU Convocation Center,True,Northern Illinois Huskies,2459,65,99,Wright State Raiders,2750,59,99,home,124,6
400842006,20151115,2016,2,False,False,1154,Baxter Arena,True,Omaha Mavericks,2437,104,99,Saint Mary's (MN) Cardinals,2899,58,99,home,162,46
400841030,20151115,2016,2,False,False,4735,Robins Center,True,Richmond Spiders,257,108,99,Stetson Hatters,56,85,99,home,193,23
400830607,20151115,2016,2,False,False,12350,Carver-Hawkeye Arena,True,Iowa Hawkeyes,2294,103,99,Coppin State Eagles,2154,68,99,home,171,35
