game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
401129933,2019-05-09,2019,New York Liberty,CHINA,89,71,New York Liberty,160,18,Barclays Center,False,False
401129934,2019-05-11,2019,Minnesota Lynx,Washington Mystics,86,79,Minnesota Lynx,165,7,Target Center,False,False
401129935,2019-05-12,2019,Phoenix Mercury,Los Angeles Sparks,82,75,Phoenix Mercury,157,7,Mortgage Matchup Center,False,False
401129936,2019-05-13,2019,Atlanta Dream,Dallas Wings,82,59,Atlanta Dream,141,23,Mohegan Sun Arena,True,False
401129937,2019-05-13,2019,Connecticut Sun,New York Liberty,100,66,Connecticut Sun,166,34,Mohegan Sun Arena,False,False
401129938,2019-05-14,2019,Chicago Sky,Indiana Fever,58,69,Indiana Fever,127,11,Wintrust Arena,False,False
401129939,2019-05-14,2019,Atlanta Dream,New York Liberty,92,87,Atlanta Dream,179,5,Mohegan Sun Arena,True,False
401129940,2019-05-14,2019,Connecticut Sun,Dallas Wings,67,71,Dallas Wings,138,4,Mohegan Sun Arena,False,False
401129941,2019-05-16,2019,Seattle Storm,Phoenix Mercury,84,87,Phoenix Mercury,171,3,Angel of the Winds Arena,True,False
401129942,2019-05-16,2019,Indiana Fever,Chicago Sky,76,65,Indiana Fever,141,11,Gainbridge Fieldhouse,False,False
401129943,2019-05-17,2019,Atlanta Dream,Washington Mystics,64,75,Washington Mystics,139,11,Albany Civic Center,False,False
401129944,2019-05-18,2019,Los Angeles Sparks,Seattle Storm,92,85,Los Angeles Sparks,177,7,Hutto-Patterson Gymnasium,True,False
401129945,2019-05-19,2019,New York Liberty,Connecticut Sun,79,98,Connecticut Sun,177,19,MVP Arena,True,False
401129946,2019-05-19,2019,Dallas Wings,Indiana Fever,66,71,Indiana Fever,137,5,College Park Center,False,False
401129947,2019-05-19,2019,Las Vegas Aces,Minnesota Lynx,75,79,Minnesota Lynx,154,4,Cox Pavilion,True,False
401104913,2019-05-24,2019,Atlanta Dream,Dallas Wings,76,72,Atlanta Dream,148,4,State Farm Arena,False,False
401104914,2019-05-25,2019,New York Liberty,Indiana Fever,80,81,Indiana Fever,161,1,Westchester County Center,False,False
401104915,2019-05-25,2019,Seattle Storm,Phoenix Mercury,77,68,Seattle Storm,145,9,Angel of the Winds Arena,False,False
401104916,2019-05-25,2019,Connecticut Sun,Washington Mystics,84,69,Connecticut Sun,153,15,Mohegan Sun Arena,False,False
401104917,2019-05-26,2019,Minnesota Lynx,Chicago Sky,89,71,Minnesota Lynx,160,18,Target Center,False,False
401104918,2019-05-27,2019,Las Vegas Aces,Los Angeles Sparks,83,70,Las Vegas Aces,153,13,Michelob ULTRA Arena,False,False
401104919,2019-05-28,2019,Connecticut Sun,Indiana Fever,88,77,Connecticut Sun,165,11,Mohegan Sun Arena,False,False
401104920,2019-05-30,2019,Minnesota Lynx,Seattle Storm,72,61,Minnesota Lynx,133,11,Target Center,False,False
401104921,2019-05-31,2019,Atlanta Dream,Seattle Storm,66,82,Seattle Storm,148,16,State Farm Arena,False,False
401104922,2019-06-01,2019,Phoenix Mercury,Las Vegas Aces,86,84,Phoenix Mercury,170,2,Mortgage Matchup Center,False,False
401104923,2019-06-01,2019,Los Angeles Sparks,Connecticut Sun,77,70,Los Angeles Sparks,147,7,crypto.com Arena,False,False
401104924,2019-06-01,2019,Indiana Fever,New York Liberty,92,77,Indiana Fever,169,15,Gainbridge Fieldhouse,False,False
401104925,2019-06-01,2019,Washington Mystics,Atlanta Dream,96,75,Washington Mystics,171,21,CareFirst Arena,False,False
401104926,2019-06-02,2019,Chicago Sky,Seattle Storm,83,79,Chicago Sky,162,4,Wintrust Arena,False,False
401104927,2019-06-02,2019,Dallas Wings,Minnesota Lynx,67,70,Minnesota Lynx,137,3,College Park Center,False,False
401104928,2019-06-02,2019,Las Vegas Aces,Connecticut Sun,74,80,Connecticut Sun,154,6,Michelob ULTRA Arena,False,False
401104929,2019-06-04,2019,New York Liberty,Los Angeles Sparks,73,78,Los Angeles Sparks,151,5,Westchester County Center,False,False
401104930,2019-06-05,2019,Seattle Storm,Minnesota Lynx,84,77,Seattle Storm,161,7,Angel of the Winds Arena,False,False
401104931,2019-06-05,2019,Washington Mystics,Chicago Sky,103,85,Washington Mystics,188,18,CareFirst Arena,False,False
401104932,2019-06-06,2019,Atlanta Dream,Las Vegas Aces,69,92,Las Vegas Aces,161,23,State Farm Arena,False,False
401104933,2019-06-06,2019,Connecticut Sun,Los Angeles Sparks,89,77,Connecticut Sun,166,12,Mohegan Sun Arena,False,False
401104934,2019-06-07,2019,Minnesota Lynx,Phoenix Mercury,58,56,Minnesota Lynx,114,2,Target Center,False,False
401104935,2019-06-07,2019,Indiana Fever,Dallas Wings,79,64,Indiana Fever,143,15,Gainbridge Fieldhouse,False,False
401104936,2019-06-07,2019,New York Liberty,Washington Mystics,85,94,Washington Mystics,179,9,Westchester County Center,False,False
401104937,2019-06-08,2019,Minnesota Lynx,Los Angeles Sparks,85,89,Los Angeles Sparks,174,4,Target Center,False,False
401104938,2019-06-09,2019,Atlanta Dream,Connecticut Sun,59,65,Connecticut Sun,124,6,State Farm Arena,False,False
401104939,2019-06-09,2019,New York Liberty,Las Vegas Aces,88,78,New York Liberty,166,10,Westchester County Center,False,False
401104940,2019-06-09,2019,Washington Mystics,Dallas Wings,86,62,Washington Mystics,148,24,CareFirst Arena,False,False
401104941,2019-06-09,2019,Indiana Fever,Phoenix Mercury,87,94,Phoenix Mercury,181,7,Gainbridge Fieldhouse,False,False
401104942,2019-06-09,2019,Chicago Sky,Seattle Storm,78,71,Chicago Sky,149,7,Wintrust Arena,False,False
401104943,2019-06-11,2019,Connecticut Sun,Washington Mystics,83,75,Connecticut Sun,158,8,Mohegan Sun Arena,False,False
401104944,2019-06-11,2019,Indiana Fever,Seattle Storm,82,84,Seattle Storm,166,2,Gainbridge Fieldhouse,False,False
401104945,2019-06-12,2019,Chicago Sky,Phoenix Mercury,82,75,Chicago Sky,157,7,Wintrust Arena,False,False
401104946,2019-06-12,2019,New York Liberty,Minnesota Lynx,75,69,New York Liberty,144,6,Westchester County Center,False,False
401104947,2019-06-14,2019,Dallas Wings,Indiana Fever,72,76,Indiana Fever,148,4,College Park Center,False,False
401104948,2019-06-14,2019,Washington Mystics,Seattle Storm,71,74,Seattle Storm,145,3,CareFirst Arena,False,False
401104949,2019-06-15,2019,Minnesota Lynx,Connecticut Sun,81,85,Connecticut Sun,166,4,Target Center,False,False
401104950,2019-06-15,2019,Phoenix Mercury,Los Angeles Sparks,68,85,Los Angeles Sparks,153,17,Mortgage Matchup Center,False,False
401104951,2019-06-15,2019,Las Vegas Aces,New York Liberty,100,65,Las Vegas Aces,165,35,Michelob ULTRA Arena,False,False
401104952,2019-06-15,2019,Indiana Fever,Chicago Sky,64,70,Chicago Sky,134,6,Gainbridge Fieldhouse,False,False
401104953,2019-06-16,2019,Dallas Wings,Atlanta Dream,71,61,Dallas Wings,132,10,College Park Center,False,False
401104954,2019-06-16,2019,Los Angeles Sparks,New York Liberty,92,98,New York Liberty,190,6,crypto.com Arena,False,False
401104955,2019-06-16,2019,Connecticut Sun,Seattle Storm,81,67,Connecticut Sun,148,14,Mohegan Sun Arena,False,False
401104956,2019-06-16,2019,Minnesota Lynx,Las Vegas Aces,75,80,Las Vegas Aces,155,5,Target Center,False,False
401104957,2019-06-19,2019,Los Angeles Sparks,Washington Mystics,52,81,Washington Mystics,133,29,crypto.com Arena,False,False
401104958,2019-06-19,2019,Atlanta Dream,Indiana Fever,88,78,Atlanta Dream,166,10,State Farm Arena,False,False
401104959,2019-06-19,2019,New York Liberty,Chicago Sky,83,91,Chicago Sky,174,8,Westchester County Center,False,False
401104960,2019-06-21,2019,Dallas Wings,Phoenix Mercury,69,54,Dallas Wings,123,15,College Park Center,False,False
401104961,2019-06-21,2019,Las Vegas Aces,Washington Mystics,72,95,Washington Mystics,167,23,Michelob ULTRA Arena,False,False
401104962,2019-06-21,2019,Connecticut Sun,Atlanta Dream,86,76,Connecticut Sun,162,10,Mohegan Sun Arena,False,False
401104963,2019-06-22,2019,Chicago Sky,Indiana Fever,69,76,Indiana Fever,145,7,Wintrust Arena,False,False
401104964,2019-06-22,2019,Seattle Storm,Los Angeles Sparks,84,62,Seattle Storm,146,22,Angel of the Winds Arena,False,False
401104965,2019-06-23,2019,Minnesota Lynx,New York Liberty,92,83,Minnesota Lynx,175,9,Target Center,False,False
401104966,2019-06-23,2019,Las Vegas Aces,Dallas Wings,86,68,Las Vegas Aces,154,18,Michelob ULTRA Arena,False,False
401104967,2019-06-23,2019,Atlanta Dream,Washington Mystics,73,89,Washington Mystics,162,16,State Farm Arena,False,False
401104968,2019-06-23,2019,Chicago Sky,Connecticut Sun,93,75,Chicago Sky,168,18,Wintrust Arena,False,False
401104969,2019-06-23,2019,Phoenix Mercury,Los Angeles Sparks,82,72,Phoenix Mercury,154,10,Mortgage Matchup Center,False,False
401104970,2019-06-23,2019,Seattle Storm,Indiana Fever,65,61,Seattle Storm,126,4,Alaska Airlines Arena,False,False
401104971,2019-06-25,2019,Indiana Fever,Minnesota Lynx,74,78,Minnesota Lynx,152,4,Gainbridge Fieldhouse,False,False
401104972,2019-06-26,2019,Las Vegas Aces,Seattle Storm,60,56,Las Vegas Aces,116,4,Michelob ULTRA Arena,False,False
401104973,2019-06-26,2019,Chicago Sky,Washington Mystics,74,81,Washington Mystics,155,7,Wintrust Arena,False,False
401104974,2019-06-27,2019,Dallas Wings,Connecticut Sun,74,73,Dallas Wings,147,1,College Park Center,False,False
401104975,2019-06-28,2019,Los Angeles Sparks,Las Vegas Aces,86,74,Los Angeles Sparks,160,12,crypto.com Arena,False,False
401104976,2019-06-28,2019,New York Liberty,Dallas Wings,69,68,New York Liberty,137,1,Westchester County Center,False,False
401104977,2019-06-29,2019,Phoenix Mercury,Indiana Fever,91,69,Phoenix Mercury,160,22,Mortgage Matchup Center,False,False
401104978,2019-06-29,2019,Seattle Storm,Chicago Sky,79,76,Seattle Storm,155,3,Alaska Airlines Arena,False,False
