Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
49,Memphis,AAC,,21,10,72.0,64.9,7.10,,5.07,,5.06,7.11,12.16,101.25,83.92,17.33,2020
50,Virginia,ACC,,23,7,57.0,52.4,4.67,,7.50,,-9.38,21.54,12.16,100.31,80.80,19.52,2020
51,NC State,ACC,,20,12,74.6,69.7,4.91,,7.14,,8.00,4.05,12.05,110.92,92.80,18.11,2020
52,Oklahoma State,Big 12,,18,14,67.6,66.1,1.50,,10.51,,3.88,8.14,12.01,107.55,89.18,18.37,2020
53,Southern California,Pac-12,,22,9,70.3,66.0,4.29,,7.22,,3.75,7.76,11.51,105.27,87.55,17.72,2020
54,Arizona State,Pac-12,,20,11,73.8,70.5,3.35,,8.10,,7.94,3.52,11.46,105.99,89.28,16.72,2020
55,Richmond,A-10,,24,7,75.3,66.8,8.55,,2.76,,6.34,4.97,11.31,109.93,91.97,17.96,2020
56,Notre Dame,ACC,,20,12,74.3,68.7,5.59,,5.62,,6.83,4.38,11.21,111.13,93.86,17.27,2020
57,Tennessee,SEC,,17,14,67.1,64.2,2.87,,8.30,,0.46,10.72,11.18,106.89,89.83,17.06,2020
58,Connecticut,AAC,,19,12,72.8,67.0,5.81,,5.34,,6.46,4.69,11.15,108.23,90.68,17.55,2020
59,Alabama,SEC,,16,15,82.0,79.0,3.00,,8.12,,15.06,-3.95,11.12,111.14,94.58,16.56,2020
60,St. John's (NY),Big East,,17,15,74.6,71.6,3.03,,7.68,,8.31,2.40,10.71,106.10,90.56,15.54,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
61,Georgia Tech,ACC,,17,14,68.6,66.4,2.16,,9.19,,2.67,7.83,10.49,103.02,86.83,16.20,2020
