game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401177913,20191107,2020,2,False,False,2288,Baxter Arena,True,Omaha Mavericks,2437,72,99,Midland University Midland,565,53,99,home,125,19
401175030,20191107,2020,2,False,False,1155,Ellis T. Johnson Arena,True,Morehead State Eagles,2413,92,99,Spalding Pelicans,2589,44,99,home,136,48
401176777,20191107,2020,2,False,False,723,Memorial Coliseum (IN),True,Purdue Fort Wayne Mastodons,2870,91,99,Manchester Spartans,2362,80,99,home,171,11
401175914,20191107,2020,2,False,False,5530,Cam Henderson Center,True,Marshall Thundering Herd,276,67,99,Robert Morris Colonials,2523,60,99,home,127,7
401174698,20191107,2020,2,False,False,1021,Holmes Convocation Center,True,App State Mountaineers,2026,83,99,Ferrum Panthers,366,56,99,home,139,27
401171546,20191107,2020,2,False,False,1014,Chase Arena,True,Hartford Hawks,42,57,99,Winthrop Eagles,2737,67,99,away,124,10
401171520,20191107,2020,2,False,False,5713,Littlejohn Coliseum,True,Clemson Tigers,228,79,99,Presbyterian Blue Hose,2506,45,99,home,124,34
401170342,20191107,2020,2,False,False,1748,UNF Arena,True,North Florida Ospreys,2454,89,99,Florida National Conquistadors,107730,81,99,home,170,8
401166024,20191107,2020,2,False,False,5692,Jersey Mike’s Arena,True,Rutgers Scarlet Knights,164,73,99,Bryant Bulldogs,2803,71,99,home,144,2
401176061,20191107,2020,2,False,False,1018,Pete Hanna Center,True,Samford Bulldogs,2535,68,99,Kentucky Wesleyan Panthers,2316,42,99,home,110,26
401177959,20191107,2020,2,False,False,1554,Frost Arena,True,South Dakota State Jackrabbits,2571,86,99,Peru State Bobcats,596,58,99,home,144,28
401177442,20191107,2020,2,False,False,1770,Scheels Center,True,North Dakota State Bison,2449,93,99,Mayville St Comets,561,53,99,home,146,40
401176813,20191107,2020,2,False,False,1521,Betty Engelstad Sioux Center,True,North Dakota Fighting Hawks,155,86,99,Crown College Polars,509,61,99,home,147,25
401176395,20191107,2020,2,False,False,1207,Farris Center,True,Central Arkansas Bears,2110,71,99,Hendrix College Warriors,418,51,99,home,122,20
401174699,20191107,2020,2,False,False,5010,Trojan Arena,True,Troy Trojans,2653,75,99,UAB Blazers,5,76,99,away,151,1
401170343,20191107,2020,2,False,False,2780,Knapp Center,True,Drake Bulldogs,2181,86,99,Kennesaw State Owls,338,55,99,home,141,31
401169599,20191107,2020,2,False,False,6380,Schollmaier Arena,True,TCU Horned Frogs,2628,83,99,Southwestern (TX) Pirates,2588,62,99,home,145,21
401170559,20191107,2020,2,False,False,0,Beasley Coliseum,True,Washington State Cougars,265,85,99,Seattle U Redhawks,2547,54,99,home,139,31
401166415,20191107,2020,2,False,False,1633,Clune Arena,True,Air Force Falcons,2005,79,99,Idaho State Bengals,304,89,99,away,168,10
401171629,20191107,2020,2,False,False,1339,University Credit Union Center,True,UC Davis Aggies,302,109,99,Jessup University Warriors,3078,63,99,home,172,46
401168159,20191106,2020,2,False,True,21750,Dean E. Smith Center,True,North Carolina Tar Heels,153,76,9,Notre Dame Fighting Irish,87,65,99,home,141,11
