game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
400993961,2017-11-11,2018,Baylor Bears,Lamar Cardinals,121,62,Baylor Bears,183,59,Ferrell Center,False,False
400987852,2017-11-10,2018,South Carolina Gamecocks,Alabama State Lady Hornets,99,31,South Carolina Gamecocks,130,68,Colonial Life Arena,False,False
400993768,2017-11-10,2018,Ohio State Buckeyes,Stanford Cardinal,85,64,Ohio State Buckeyes,149,21,St. John Arena,False,False
400987776,2017-11-11,2018,Mississippi State Bulldogs,Virginia Cavaliers,68,53,Mississippi State Bulldogs,121,15,Humphrey Coliseum,False,False
400994332,2017-11-11,2018,UCLA Bruins,San José State Spartans,129,69,UCLA Bruins,198,60,Pauley Pavilion,False,False
400994168,2017-11-11,2018,West Virginia Mountaineers,Central Connecticut Blue Devils,102,52,West Virginia Mountaineers,154,50,WVU Coliseum,False,False
400993643,2017-11-11,2018,Maryland Terrapins,UAlbany Great Danes,91,58,Maryland Terrapins,149,33,XFINITY Center,False,False
400993855,2017-11-11,2018,Florida State Seminoles,North Florida Ospreys,109,51,Florida State Seminoles,160,58,Tucker Center,False,False
400994326,2017-11-10,2018,Oregon State Beavers,North Dakota Fighting Hawks,65,55,Oregon State Beavers,120,10,Gill Coliseum,False,False
400994330,2017-11-11,2018,California Golden Bears,Saint Mary's Gaels,87,80,California Golden Bears,167,7,Haas Pavilion,False,False
400994114,2017-11-11,2018,Oklahoma Sooners,Belmont Bruins,96,73,Oklahoma Sooners,169,23,Lloyd Noble Center,False,False
400987757,2017-11-10,2018,South Florida Bulls,LSU Tigers,61,55,South Florida Bulls,116,6,Yuengling Center,False,False
400995730,2017-11-11,2018,DePaul Blue Demons,Northern Colorado Bears,88,94,Northern Colorado Bears,182,6,McGrath-Phillips Arena,False,False
400994899,2017-11-11,2018,Notre Dame Fighting Irish,Mount St. Mary's Mountaineers,121,65,Notre Dame Fighting Irish,186,56,Purcell Pavilion,False,False
400993962,2017-11-12,2018,Baylor Bears,Coppin State Eagles,100,54,Baylor Bears,154,46,Ferrell Center,False,False
400994339,2017-11-12,2018,UCLA Bruins,Presbyterian Blue Hose,76,40,UCLA Bruins,116,36,Pauley Pavilion,False,False
400994907,2017-11-12,2018,Grand Canyon Lopes,Duke Blue Devils,61,74,Duke Blue Devils,135,13,Global Credit Union Arena,False,False
400987867,2017-11-12,2018,Tennessee Lady Volunteers,East Tennessee State Bucs,87,49,Tennessee Lady Volunteers,136,38,Food City Center,False,False
400994906,2017-11-12,2018,Jacksonville State Gamecocks,Florida State Seminoles,51,75,Florida State Seminoles,126,24,Pete Mathews Coliseum,False,False
400995453,2017-11-12,2018,South Florida Bulls,Houston Christian Huskies,90,43,South Florida Bulls,133,47,Yuengling Center,False,False
400987853,2017-11-14,2018,Maryland Terrapins,South Carolina Gamecocks,86,94,South Carolina Gamecocks,180,8,XFINITY Center,False,False
400995732,2017-11-14,2018,New Mexico Lobos,Marquette Golden Eagles,88,87,New Mexico Lobos,175,1,The Pit,False,False
400994115,2017-11-14,2018,DePaul Blue Demons,Oklahoma Sooners,111,108,DePaul Blue Demons,219,3,McGrath-Phillips Arena,False,False
400993963,2017-11-15,2018,Baylor Bears,Central Arkansas Sugar Bears,86,55,Baylor Bears,141,31,Ferrell Center,False,False
400994910,2017-11-15,2018,Western Kentucky Lady Toppers,Notre Dame Fighting Irish,65,78,Notre Dame Fighting Irish,143,13,E.A. Diddle Arena,False,False
400994169,2017-11-15,2018,West Virginia Mountaineers,Sacramento State Hornets,101,47,West Virginia Mountaineers,148,54,WVU Coliseum,False,False
400994146,2017-11-15,2018,Texas Longhorns,McNeese Cowgirls,100,34,Texas Longhorns,134,66,Frank Erwin Center,False,False
400993770,2017-11-16,2018,Ohio State Buckeyes,Idaho Vandals,99,56,Ohio State Buckeyes,155,43,Value City Arena,False,False
400987868,2017-11-16,2018,Tennessee Lady Volunteers,James Madison Dukes,89,60,Tennessee Lady Volunteers,149,29,Food City Center,False,False
400994343,2017-11-16,2018,Oregon State Beavers,Utah Valley Wolverines,98,41,Oregon State Beavers,139,57,Gill Coliseum,False,False
400987854,2017-11-17,2018,Clemson Tigers,South Carolina Gamecocks,36,66,South Carolina Gamecocks,102,30,Littlejohn Coliseum,False,False
400987777,2017-11-17,2018,Mississippi State Bulldogs,Georgia State Panthers,106,50,Mississippi State Bulldogs,156,56,Humphrey Coliseum,False,False
