game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
401254718,2020-11-26,2021,Baylor Bears,Central Arkansas Sugar Bears,82,37,Baylor Bears,119,45,Ferrell Center,False,False
401255640,2020-11-25,2021,Southeast Missouri State Redhawks,Louisville Cardinals,53,74,Louisville Cardinals,127,21,Show Me Center,False,False
401262848,2020-11-25,2021,NC State Wolfpack,North Florida Ospreys,93,65,NC State Wolfpack,158,28,Reynolds Coliseum,False,False
401257718,2020-11-25,2021,Texas A&M Aggies,Lamar Cardinals,77,61,Texas A&M Aggies,138,16,Reed Arena,False,False
401259066,2020-11-25,2021,Arkansas Razorbacks,Oral Roberts Golden Eagles,96,49,Arkansas Razorbacks,145,47,Bud Walton Arena,False,False
401259843,2020-11-25,2021,Iowa State Cyclones,Omaha Mavericks,69,43,Iowa State Cyclones,112,26,Hilton Coliseum,False,False
401264349,2020-11-25,2021,Indiana Hoosiers,Eastern Kentucky Colonels,100,51,Indiana Hoosiers,151,49,Simon Skjodt Assembly Hall,False,False
401264934,2020-11-25,2021,Michigan Wolverines,Central Michigan Chippewas,93,75,Michigan Wolverines,168,18,Crisler Center,False,False
401264475,2020-11-27,2021,Ohio Bobcats,Notre Dame Fighting Irish,86,85,Ohio Bobcats,171,1,Convocation Center (OH),False,False
401264476,2020-11-27,2021,Oakland Golden Grizzlies,Michigan Wolverines,62,95,Michigan Wolverines,157,33,OU Credit Union O'rena,False,False
401263604,2020-11-28,2021,Oregon Ducks,Seattle U Redhawks,116,51,Oregon Ducks,167,65,Matthew Knight Arena,False,False
401263264,2020-11-28,2021,DePaul Blue Demons,Texas A&M Aggies,91,93,Texas A&M Aggies,184,2,McGrath-Phillips Arena,False,False
401263467,2020-11-28,2021,South Dakota State Jackrabbits,Iowa State Cyclones,76,69,South Dakota State Jackrabbits,145,7,Frost Arena,False,False
401257643,2020-11-29,2021,Louisville Cardinals,Eastern Kentucky Colonels,101,58,Louisville Cardinals,159,43,KFC Yum! Center,False,False
401265775,2020-11-29,2021,Mississippi State Bulldogs,Jackson State Lady Tigers,88,58,Mississippi State Bulldogs,146,30,Humphrey Coliseum,False,False
401262928,2020-11-29,2021,Arizona Wildcats,Northern Arizona Lumberjacks,76,63,Arizona Wildcats,139,13,McKale Memorial Center,False,False
401259272,2020-11-29,2021,NC State Wolfpack,North Carolina Central Eagles,108,70,NC State Wolfpack,178,38,Reynolds Coliseum,False,False
401259058,2020-11-29,2021,Kentucky Wildcats,Belmont Bruins,70,50,Kentucky Wildcats,120,20,Memorial Coliseum (KY),False,False
401265294,2020-11-29,2021,Ohio State Buckeyes,Duquesne Dukes,82,47,Ohio State Buckeyes,129,35,Covelli Center (Ohio State),False,False
401259658,2020-11-29,2021,Notre Dame Fighting Irish,Miami (OH) RedHawks,88,68,Notre Dame Fighting Irish,156,20,Purcell Pavilion,False,False
401264481,2020-11-29,2021,Stony Brook Seawolves,Syracuse Orange,39,50,Syracuse Orange,89,11,Island FCU Arena,False,False
401262945,2020-12-01,2021,Portland Pilots,Oregon Ducks,52,85,Oregon Ducks,137,33,Chiles Center,False,False
401259971,2020-11-30,2021,DePaul Blue Demons,Chicago State Cougars,128,66,DePaul Blue Demons,194,62,McGrath-Phillips Arena,False,False
401254720,2020-12-02,2021,South Florida Bulls,Baylor Bears,62,67,Baylor Bears,129,5,Yuengling Center,False,False
401263129,2020-12-03,2021,Mississippi State Bulldogs,New Orleans Privateers,106,51,Mississippi State Bulldogs,157,55,Humphrey Coliseum,False,False
401263265,2020-12-02,2021,Texas A&M Aggies,Lamar Cardinals,80,63,Texas A&M Aggies,143,17,Reed Arena,False,False
401266524,2020-12-02,2021,Ohio State Buckeyes,Kent State Golden Flashes,103,47,Ohio State Buckeyes,150,56,Covelli Center (Ohio State),False,False
