game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
400875517,2016-05-01,2016,Indiana Fever,Dallas Wings,108,90,Indiana Fever,198,18,Gainbridge Fieldhouse,False,False
400875518,2016-05-01,2016,Chicago Sky,New York Liberty,93,59,Chicago Sky,152,34,Bob Carpenter Center,True,False
400875519,2016-05-04,2016,Seattle Storm,Phoenix Mercury,73,81,Phoenix Mercury,154,8,KeyArena,False,False
400875520,2016-05-04,2016,San Antonio Stars,Atlanta Dream,74,67,San Antonio Stars,141,7,Mohegan Sun Arena,True,False
400875521,2016-05-04,2016,Connecticut Sun,Chicago Sky,84,81,Connecticut Sun,165,3,Mohegan Sun Arena,False,False
400875522,2016-05-05,2016,Chicago Sky,Atlanta Dream,95,75,Chicago Sky,170,20,Mohegan Sun Arena,True,False
400875523,2016-05-05,2016,Connecticut Sun,San Antonio Stars,76,53,Connecticut Sun,129,23,Mohegan Sun Arena,False,False
400875524,2016-05-05,2016,New York Liberty,Minnesota Lynx,74,77,Minnesota Lynx,151,3,Levien Gymnasium,True,False
400875525,2016-05-06,2016,Washington Mystics,Indiana Fever,69,89,Indiana Fever,158,20,Capital One Arena,False,False
400875526,2016-05-07,2016,Los Angeles Sparks,Atlanta Dream,88,80,Los Angeles Sparks,168,8,Hutto-Patterson Gymnasium,True,False
400875527,2016-05-08,2016,Dallas Wings,Connecticut Sun,74,82,Connecticut Sun,156,8,College Park Center,False,False
400875531,2016-05-08,2016,Minnesota Lynx,Washington Mystics,68,85,Washington Mystics,153,17,Mayo Civic Center,True,False
400875528,2016-05-08,2016,Phoenix Mercury,Seattle Storm,70,76,Seattle Storm,146,6,Mortgage Matchup Center,False,False
400875529,2016-05-10,2016,San Antonio Stars,Los Angeles Sparks,70,77,Los Angeles Sparks,147,7,Frost Bank Center,False,False
400875530,2016-05-10,2016,Atlanta Dream,Los Angeles Sparks,63,69,Los Angeles Sparks,132,6,McCamish Pavilion,True,False
400864357,2016-05-14,2016,Indiana Fever,Dallas Wings,79,90,Dallas Wings,169,11,Gainbridge Fieldhouse,False,False
400864359,2016-05-14,2016,Washington Mystics,New York Liberty,76,87,New York Liberty,163,11,Capital One Arena,False,False
400864361,2016-05-14,2016,Minnesota Lynx,Phoenix Mercury,95,76,Minnesota Lynx,171,19,Target Center,False,False
400864370,2016-05-15,2016,Chicago Sky,Connecticut Sun,93,70,Chicago Sky,163,23,Allstate Arena,False,False
400864373,2016-05-15,2016,San Antonio Stars,Atlanta Dream,63,73,Atlanta Dream,136,10,Frost Bank Center,False,False
400864378,2016-05-15,2016,Los Angeles Sparks,Seattle Storm,96,66,Los Angeles Sparks,162,30,crypto.com Arena,False,False
400864381,2016-05-15,2016,New York Liberty,Dallas Wings,79,71,New York Liberty,150,8,Madison Square Garden,False,False
400864384,2016-05-18,2016,Chicago Sky,Minnesota Lynx,80,97,Minnesota Lynx,177,17,Allstate Arena,False,False
400864387,2016-05-18,2016,Washington Mystics,Dallas Wings,77,87,Dallas Wings,164,10,Capital One Arena,False,False
400864389,2016-05-18,2016,Indiana Fever,Phoenix Mercury,97,93,Indiana Fever,190,4,Gainbridge Fieldhouse,False,False
400864393,2016-05-19,2016,San Antonio Stars,Connecticut Sun,68,72,Connecticut Sun,140,4,Frost Bank Center,False,False
400864397,2016-05-20,2016,Washington Mystics,Los Angeles Sparks,67,97,Los Angeles Sparks,164,30,Capital One Arena,False,False
400864400,2016-05-20,2016,Indiana Fever,Atlanta Dream,94,85,Indiana Fever,179,9,Gainbridge Fieldhouse,False,False
400864403,2016-05-21,2016,Phoenix Mercury,Seattle Storm,80,81,Seattle Storm,161,1,Mortgage Matchup Center,False,False
400864405,2016-05-21,2016,New York Liberty,Los Angeles Sparks,72,79,Los Angeles Sparks,151,7,Madison Square Garden,False,False
400864429,2016-05-21,2016,Connecticut Sun,Washington Mystics,76,84,Washington Mystics,160,8,Mohegan Sun Arena,False,False
