Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
1,Alabama,SEC,,31,6,81.8,68.3,13.54,,9.65,,16.81,6.38,23.19,116.59,84.21,32.38,2023
2,Connecticut,Big East,,31,8,78.6,64.1,14.44,,8.51,,11.40,11.55,22.95,120.24,87.74,32.50,2023
3,Houston,AAC,,33,4,74.9,57.5,17.41,,4.79,,5.59,16.60,22.20,118.29,84.87,33.42,2023
4,UCLA,Pac-12,,31,6,74.1,60.7,13.46,,8.66,,7.51,14.61,22.11,116.30,84.44,31.86,2023
5,Tennessee,SEC,,25,11,70.8,57.9,12.86,,7.98,,4.15,16.69,20.84,113.02,82.38,30.64,2023
6,Texas,Big 12,,29,9,78.0,67.8,10.13,,10.43,,11.50,9.06,20.56,117.44,88.11,29.33,2023
7,Kansas,Big 12,,28,8,75.4,68.1,7.36,,11.84,,10.82,8.38,19.20,115.75,88.87,26.88,2023
8,Arizona,Pac-12,,28,7,81.9,71.1,10.74,,8.34,,16.78,2.30,19.08,119.30,93.21,26.09,2023
9,Gonzaga,WCC,,31,6,86.1,73.4,12.76,,8.04,,17.17,1.82,18.99,123.14,96.56,26.58,2023
10,Purdue,Big Ten,,29,6,72.7,62.7,9.91,,8.31,,6.20,12.02,18.23,118.18,90.98,27.21,2023
11,Creighton,Big East,,24,13,76.4,68.4,8.03,,9.80,,9.54,8.29,17.83,116.51,90.96,25.56,2023
12,Saint Mary's (CA),WCC,,27,8,70.7,60.1,10.51,,7.18,,1.26,16.15,17.41,113.60,87.49,26.11,2023
13,Baylor,Big 12,,23,11,77.0,70.3,6.76,,10.54,,11.99,5.31,17.30,120.65,96.38,24.26,2023
14,Marquette,Big East,,29,7,79.3,70.3,9.06,,8.01,,12.47,4.59,17.07,118.55,94.39,24.16,2023
15,Xavier,Big East,,27,10,80.9,74.1,6.86,,9.16,,13.90,2.13,16.03,117.67,95.59,22.08,2023
16,Arkansas,SEC,,22,14,74.1,67.9,6.11,,9.87,,8.68,7.30,15.99,112.20,89.64,22.56,2023
17,West Virginia,Big 12,,19,15,76.0,70.9,5.06,,10.89,,10.83,5.12,15.95,117.45,95.01,22.44,2023
18,Duke,ACC,,27,9,72.0,63.6,8.39,,7.44,,4.64,11.19,15.83,113.58,90.13,23.45,2023
19,San Diego State,MWC,,32,7,71.2,63.5,7.69,,8.92,,3.71,12.11,15.81,111.42,88.26,23.16,2023
20,Kansas State,Big 12,,26,10,76.2,69.9,6.31,,9.48,,11.03,4.75,15.79,113.22,90.98,22.24,2023
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2023
21,TCU,Big 12,,22,13,75.3,68.4,6.83,,8.78,,8.77,6.83,15.61,112.52,90.99,21.52,2023
22,Iowa State,Big 12,,19,14,67.6,62.6,4.97,,10.39,,0.56,14.80,15.36,108.21,86.45,21.77,2023
23,Indiana,Big Ten,,23,12,74.7,68.7,6.06,,8.88,,8.49,6.45,14.94,115.04,93.62,21.42,2023
24,Illinois,Big Ten,,20,13,74.3,67.2,7.15,,7.65,,8.56,6.25,14.81,111.43,90.85,20.58,2023
25,Kentucky,SEC,,22,12,74.5,67.8,6.68,,8.08,,7.72,7.03,14.76,116.86,95.26,21.61,2023
26,Maryland,Big Ten,,22,13,69.7,63.5,6.23,,8.35,,3.67,10.91,14.58,114.39,92.42,21.97,2023
27,Rutgers,Big Ten,,19,15,68.4,61.1,7.26,,7.31,,1.24,13.33,14.58,106.96,86.04,20.92,2023
28,Memphis,AAC,,26,9,79.4,71.8,7.60,,6.90,,11.95,2.55,14.50,113.01,92.66,20.35,2023
29,Auburn,SEC,,21,13,72.8,67.7,5.06,,9.29,,6.77,7.57,14.35,112.19,91.74,20.45,2023
30,Michigan State,Big Ten,,21,13,70.9,67.9,3.00,,11.25,,5.11,9.14,14.25,113.63,92.82,20.80,2023
31,Utah State,MWC,,26,9,78.2,69.9,8.29,,6.81,,10.31,3.92,14.23,115.77,95.79,19.98,2023
32,Iowa,Big Ten,,19,14,80.1,74.7,5.39,,8.69,,15.11,-1.02,14.08,120.48,100.66,19.82,2023
33,Miami (FL),ACC,,29,8,79.1,71.9,7.14,,6.84,,12.19,1.79,13.98,118.42,98.47,19.94,2023
34,Florida Atlantic,CUSA,,35,4,77.8,65.3,12.51,,2.30,,7.46,6.46,13.92,114.19,93.93,20.26,2023
35,Oregon,Pac-12,,21,15,70.6,66.3,4.33,,9.50,,6.24,7.59,13.83,113.55,93.82,19.73,2023
36,Texas A&M,SEC,,25,10,72.8,66.5,6.34,,7.42,,5.62,8.14,13.76,114.16,94.06,20.10,2023
37,Northwestern,Big Ten,,22,12,67.7,62.8,4.97,,8.71,,1.82,11.86,13.68,109.51,90.07,19.44,2023
38,Virginia,ACC,,25,8,67.8,60.5,7.30,,5.98,,-0.68,13.96,13.28,111.90,91.71,20.20,2023
39,Southern California,Pac-12,,22,11,72.5,67.4,5.06,,8.00,,7.27,5.79,13.06,112.00,93.74,18.26,2023
40,Penn State,Big Ten,,23,14,72.2,68.2,4.03,,9.02,,7.07,5.97,13.04,117.68,98.67,19.01,2023
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2023
41,Ohio State,Big Ten,,16,19,72.5,69.0,3.54,,9.45,,7.52,5.47,12.99,116.01,97.30,18.71,2023
42,North Carolina,ACC,,20,13,76.2,70.9,5.27,,7.66,,9.31,3.62,12.94,112.23,93.93,18.31,2023
43,Providence,Big East,,21,12,77.3,71.0,6.33,,6.55,,9.40,3.49,12.89,115.07,97.47,17.60,2023
44,Boise State,MWC,,24,10,72.1,64.6,7.44,,6.21,,3.92,8.86,12.78,109.90,91.45,18.45,2023
45,Oklahoma State,Big 12,,20,16,68.3,65.8,2.44,,10.18,,2.94,9.68,12.62,106.52,88.41,18.11,2023
46,Texas Tech,Big 12,,16,16,73.3,69.0,4.34,,8.24,,5.96,6.62,12.58,111.79,94.74,17.05,2023
47,NC State,ACC,,23,11,77.7,70.8,6.91,,5.58,,9.38,3.12,12.50,113.35,96.13,17.22,2023
48,Michigan,Big Ten,,18,16,73.4,69.6,3.74,,8.69,,7.72,4.71,12.43,112.11,94.40,17.71,2023
49,Cincinnati,AAC,,23,13,77.1,69.3,7.81,,4.97,,7.51,4.26,11.77,112.17,95.79,16.39,2023
50,Mississippi State,SEC,,21,13,65.7,61.0,4.74,,6.69,,-1.91,13.34,11.43,105.86,89.07,16.78,2023
51,Missouri,SEC,,25,10,78.9,74.4,4.51,,6.89,,11.99,-0.59,11.41,118.34,102.33,16.01,2023
52,Oklahoma,Big 12,,15,17,67.7,67.5,0.13,,11.25,,3.09,8.29,11.38,111.13,94.36,16.77,2023
53,Utah,Pac-12,,17,15,68.7,63.8,4.81,,6.53,,2.51,8.82,11.34,107.25,91.22,16.03,2023
54,Arizona State,Pac-12,,23,13,71.1,68.0,3.11,,8.18,,4.82,6.47,11.29,107.80,91.60,16.21,2023
55,Colorado,Pac-12,,18,17,69.9,67.1,2.77,,8.39,,4.45,6.72,11.17,107.31,91.58,15.73,2023
56,UCF,AAC,,19,15,71.5,65.5,6.00,,5.09,,2.50,8.59,11.09,109.31,92.20,17.10,2023
57,Seton Hall,Big East,,17,16,68.4,65.1,3.24,,8.50,,0.88,10.13,11.00,106.75,91.12,15.63,2023
