Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
1,Duke,ACC,,35,4,83.2,62.8,20.46,,10.26,,14.77,15.95,30.72,131.42,86.60,44.82,2025
2,Auburn,SEC,,32,6,83.0,69.4,13.55,,15.13,,16.94,11.74,28.68,129.16,88.83,40.33,2025
3,Houston,Big 12,,35,5,73.7,58.7,15.00,,13.45,,7.21,21.24,28.45,125.20,82.34,42.86,2025
4,Florida,SEC,,36,4,84.8,69.6,15.18,,12.60,,17.70,10.08,27.78,128.46,89.36,39.10,2025
5,Alabama,SEC,,28,9,90.7,81.3,9.41,,16.14,,24.53,1.01,25.54,127.79,92.78,35.01,2025
6,Tennessee,SEC,,30,8,74.0,63.1,10.95,,13.25,,6.08,18.11,24.20,121.32,86.15,35.17,2025
7,Gonzaga,WCC,,26,9,86.4,69.9,16.49,,7.27,,17.63,6.12,23.75,125.62,92.50,33.12,2025
8,Maryland,Big Ten,,27,9,81.1,67.2,13.92,,9.41,,12.14,11.19,23.33,120.98,88.78,32.21,2025
9,Texas Tech,Big 12,,28,9,80.9,68.5,12.43,,10.62,,13.62,9.44,23.05,127.41,93.63,33.78,2025
10,Arizona,Big 12,,24,13,82.5,73.3,9.22,,13.72,,16.53,6.41,22.94,125.00,92.65,32.35,2025
11,Michigan State,Big Ten,,30,7,77.7,67.1,10.54,,11.89,,9.44,12.99,22.43,120.53,88.79,31.74,2025
12,Iowa State,Big 12,,25,10,80.3,68.3,12.00,,10.33,,12.28,10.06,22.33,121.32,89.70,31.61,2025
13,Illinois,Big Ten,,22,13,83.6,74.8,8.80,,12.79,,16.78,4.82,21.59,123.34,93.45,29.89,2025
14,Kentucky,SEC,,24,12,84.4,77.2,7.22,,14.04,,17.10,4.17,21.26,125.51,95.84,29.66,2025
15,St. John's (NY),Big East,,31,5,78.5,65.8,12.69,,8.56,,10.10,11.15,21.25,115.33,85.44,29.88,2025
16,Purdue,Big Ten,,24,12,77.3,70.4,6.89,,13.91,,10.37,10.42,20.80,126.13,96.17,29.96,2025
17,Wisconsin,Big Ten,,27,10,80.1,70.9,9.24,,11.49,,12.26,8.47,20.73,123.39,93.93,29.46,2025
18,Michigan,Big Ten,,27,10,78.0,71.5,6.51,,13.69,,11.75,8.46,20.21,118.12,90.04,28.09,2025
19,Kansas,Big 12,,21,13,76.1,69.6,6.53,,13.56,,9.59,10.50,20.09,118.00,88.99,29.01,2025
20,UCLA,Big Ten,,23,11,74.2,65.2,8.97,,10.71,,5.70,13.98,19.68,119.73,91.30,28.43,2025
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2025
21,Missouri,SEC,,22,12,83.6,73.6,10.00,,9.49,,14.60,4.89,19.49,125.60,98.08,27.53,2025
22,Texas A&M,SEC,,23,11,74.6,68.7,5.91,,13.39,,7.40,11.91,19.30,118.02,90.01,28.01,2025
23,Brigham Young,Big 12,,26,10,81.4,72.6,8.86,,10.21,,13.85,5.23,19.07,124.85,97.56,27.28,2025
24,Baylor,Big 12,,20,15,76.1,69.8,6.31,,13.86,,9.72,9.05,18.77,123.98,97.11,26.87,2025
25,Louisville,ACC,,27,8,78.5,69.5,9.00,,9.49,,10.55,7.95,18.49,119.47,93.35,26.12,2025
26,Mississippi,SEC,,24,12,77.2,71.7,5.47,,12.80,,9.84,8.44,18.28,119.39,93.31,26.08,2025
27,Marquette,Big East,,23,11,76.6,68.7,7.82,,10.37,,9.22,8.97,18.19,119.10,93.25,25.85,2025
28,Oregon,Big Ten,,25,10,76.5,70.9,5.69,,12.32,,9.42,8.58,18.00,118.67,93.04,25.63,2025
29,Connecticut,Big East,,24,11,77.0,68.0,9.00,,8.87,,8.31,9.56,17.87,123.14,97.36,25.78,2025
30,Ohio State,Big Ten,,17,15,78.8,73.5,5.28,,12.58,,11.17,6.69,17.86,119.97,95.10,24.87,2025
31,Clemson,ACC,,27,7,76.1,65.8,10.29,,7.51,,6.65,11.16,17.81,119.97,93.42,26.54,2025
32,Saint Mary's (CA),WCC,,29,6,72.9,61.1,11.80,,6.46,,0.74,16.69,17.43,116.46,90.09,26.37,2025
33,North Carolina,ACC,,23,14,80.7,74.7,6.05,,11.22,,13.93,3.35,17.27,120.67,96.23,24.44,2025
34,Mississippi State,SEC,,21,13,79.5,74.2,5.35,,11.79,,11.19,5.95,17.14,120.50,96.12,24.38,2025
35,Arkansas,SEC,,22,14,76.8,71.4,5.39,,11.70,,8.84,8.25,17.09,115.46,91.78,23.68,2025
36,Creighton,Big East,,25,11,75.5,70.0,5.44,,11.04,,8.48,8.01,16.49,119.56,95.80,23.77,2025
37,Georgia,SEC,,20,13,75.3,69.9,5.42,,10.94,,6.39,9.98,16.36,116.91,93.81,23.10,2025
38,Texas,SEC,,19,16,78.5,72.6,5.86,,9.79,,10.10,5.55,15.65,119.90,97.71,22.19,2025
39,Xavier,Big East,,22,12,78.1,71.6,6.53,,8.72,,10.04,5.21,15.25,118.33,96.79,21.54,2025
40,New Mexico,MWC,,27,8,80.5,70.6,9.91,,6.52,,11.21,3.99,15.20,113.60,92.88,20.72,2025
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2025
41,West Virginia,Big 12,,19,13,68.2,64.8,3.34,,11.54,,1.02,13.87,14.89,111.92,90.71,21.21,2025
42,Oklahoma,SEC,,20,14,78.3,74.6,3.65,,11.22,,9.95,4.92,14.86,119.80,98.64,21.16,2025
43,Vanderbilt,SEC,,20,13,78.9,74.3,4.61,,10.05,,11.19,3.47,14.66,119.24,98.55,20.69,2025
44,Indiana,Big Ten,,19,13,74.7,72.0,2.63,,12.00,,6.93,7.70,14.63,115.04,94.30,20.74,2025
45,Virginia Commonwealth,A-10,,28,7,76.9,62.9,14.06,,1.30,,4.63,9.82,14.45,115.77,94.17,21.60,2025
46,Northwestern,Big Ten,,17,16,72.4,69.2,3.27,,11.13,,4.33,10.08,14.40,115.21,94.60,20.61,2025
47,Southern Methodist,ACC,,24,11,79.9,71.3,8.63,,5.72,,10.06,4.29,14.35,117.40,97.67,19.73,2025
48,Cincinnati,Big 12,,19,16,71.2,66.2,4.94,,9.28,,2.64,11.59,14.23,113.12,93.03,20.08,2025
49,Colorado State,MWC,,26,10,75.2,67.3,7.89,,6.05,,5.99,7.95,13.94,117.67,97.14,20.53,2025
50,Boise State,MWC,,26,11,75.8,66.9,8.84,,5.75,,6.00,7.86,13.86,118.90,98.73,20.17,2025
51,Nebraska,Big Ten,,21,14,76.0,72.6,3.40,,10.46,,7.19,6.67,13.86,115.10,95.53,19.57,2025
52,Penn State,Big Ten,,16,15,79.1,73.2,5.87,,7.70,,9.56,4.01,13.57,116.29,97.96,18.33,2025
53,Utah State,MWC,,26,8,79.9,70.0,9.85,,5.35,,10.45,3.11,13.56,121.61,102.01,19.59,2025
54,Villanova,Big East,,21,15,74.0,68.2,5.83,,7.45,,5.24,8.04,13.28,120.70,101.01,19.69,2025
55,Pittsburgh,ACC,,17,15,75.9,70.8,5.03,,8.24,,6.74,6.53,13.27,117.05,98.55,18.50,2025
56,Santa Clara,WCC,,21,13,81.9,73.0,8.97,,4.25,,10.32,2.91,13.22,118.14,99.39,18.76,2025
57,Southern California,Big Ten,,17,18,76.7,74.6,2.11,,10.86,,8.99,3.98,12.97,117.71,99.58,18.13,2025
