game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
400905150,2016-11-11,2017,Baylor Bears,Houston Christian Huskies,118,43,Baylor Bears,161,75,Ferrell Center,False,False
400911942,2016-11-11,2017,UT Martin Skyhawks,Louisville Cardinals,57,100,Louisville Cardinals,157,43,Skyhawk Arena,False,False
400914190,2016-11-11,2017,Ohio State Buckeyes,Duquesne Dukes,89,69,Ohio State Buckeyes,158,20,Value City Arena,False,False
400913866,2016-11-12,2017,UCLA Bruins,Pacific Tigers,82,55,UCLA Bruins,137,27,Pauley Pavilion,False,False
400911412,2016-11-12,2017,Stanford Cardinal,Cal Poly Mustangs,83,55,Stanford Cardinal,138,28,Maples Pavilion,False,False
400911932,2016-11-11,2017,Florida State Seminoles,Jacksonville State Gamecocks,73,62,Florida State Seminoles,135,11,Tucker Center,False,False
400912572,2016-11-12,2017,James Madison Dukes,Tennessee Lady Volunteers,69,81,Tennessee Lady Volunteers,150,12,JMU Convocation Center,False,False
400911933,2016-11-11,2017,Syracuse Orange,Rhode Island Rams,95,49,Syracuse Orange,144,46,JMA Wireless Dome,False,False
400912316,2016-11-11,2017,Arizona State Sun Devils,Illinois State Redbirds,76,40,Arizona State Sun Devils,116,36,Desert Financial Arena,False,False
400911850,2016-11-11,2017,Florida Gators,South Alabama Jaguars,85,33,Florida Gators,118,52,Veterans Memorial Arena,False,False
400914174,2016-11-12,2017,Indiana Hoosiers,Presbyterian Blue Hose,71,37,Indiana Hoosiers,108,34,Simon Skjodt Assembly Hall,False,False
400913863,2016-11-11,2017,Oregon State Beavers,Lamar Cardinals,88,56,Oregon State Beavers,144,32,Gill Coliseum,False,False
400911053,2016-11-12,2017,West Virginia Mountaineers,Charleston Southern Buccaneers,88,38,West Virginia Mountaineers,126,50,WVU Coliseum,False,False
400911950,2016-11-13,2017,Louisville Cardinals,Belmont Bruins,73,50,Louisville Cardinals,123,23,KFC Yum! Center,False,False
400911912,2016-11-13,2017,Maryland Terrapins,UMass Lowell River Hawks,100,44,Maryland Terrapins,144,56,XFINITY Center,False,False
400912573,2016-11-13,2017,Tennessee Lady Volunteers,Navy Midshipmen,85,55,Tennessee Lady Volunteers,140,30,Food City Center,False,False
400911055,2016-11-13,2017,Oklahoma Sooners,Southern Illinois Salukis,80,48,Oklahoma Sooners,128,32,Lloyd Noble Center,False,False
400912739,2016-11-13,2017,Arizona State Sun Devils,San José State Spartans,82,37,Arizona State Sun Devils,119,45,Desert Financial Arena,False,False
400912590,2016-11-13,2017,Indiana Hoosiers,Vanderbilt Commodores,94,61,Indiana Hoosiers,155,33,Simon Skjodt Assembly Hall,False,False
400905151,2016-11-15,2017,Baylor Bears,UCLA Bruins,84,70,Baylor Bears,154,14,Ferrell Center,False,False
400912568,2016-11-14,2017,Ohio State Buckeyes,South Carolina Gamecocks,80,92,South Carolina Gamecocks,172,12,Value City Arena,False,False
400911955,2016-11-15,2017,Syracuse Orange,Siena Saints,102,65,Syracuse Orange,167,37,JMA Wireless Dome,False,False
400911851,2016-11-14,2017,Chattanooga Mocs,Florida Gators,61,72,Florida Gators,133,11,McKenzie Arena,False,False
400913364,2016-11-15,2017,Oregon State Beavers,Idaho State Bengals,61,38,Oregon State Beavers,99,23,Gill Coliseum,False,False
400912574,2016-11-16,2017,East Tennessee State Bucs,Tennessee Lady Volunteers,58,83,Tennessee Lady Volunteers,141,25,Brooks Gym,False,False
400911060,2016-11-15,2017,West Virginia Mountaineers,Howard Bison,95,49,West Virginia Mountaineers,144,46,WVU Coliseum,False,False
400911962,2016-11-17,2017,Middle Tennessee Blue Raiders,Louisville Cardinals,72,91,Louisville Cardinals,163,19,Murphy Center,False,False
400914403,2016-11-16,2017,Maryland Terrapins,Maryland Eastern Shore Hawks,106,61,Maryland Terrapins,167,45,XFINITY Center,False,False
400917340,2016-11-17,2017,Ohio State Buckeyes,Cleveland State Vikings,96,78,Ohio State Buckeyes,174,18,Value City Arena,False,False
400911062,2016-11-16,2017,Texas Longhorns,Houston Christian Huskies,98,46,Texas Longhorns,144,52,Frank Erwin Center,False,False
400911643,2016-11-17,2017,Mississippi State Bulldogs,Tulane Green Wave,66,49,Mississippi State Bulldogs,115,17,Mississippi Coast Coliseum,True,False
400911063,2016-11-17,2017,Oklahoma Sooners,Little Rock Trojans,68,58,Oklahoma Sooners,126,10,Lloyd Noble Center,False,False
400911964,2016-11-17,2017,Florida State Seminoles,Jacksonville Dolphins,90,47,Florida State Seminoles,137,43,Tucker Center,False,False
400912532,2016-11-17,2017,Kentucky Wildcats,New Hampshire Wildcats,92,43,Kentucky Wildcats,135,49,Memorial Coliseum (KY),False,False
400914404,2016-11-18,2017,Maryland Terrapins,Mount St. Mary's Mountaineers,106,42,Maryland Terrapins,148,64,XFINITY Center,False,False
400913876,2016-11-19,2017,UCLA Bruins,Southern Jaguars,95,47,UCLA Bruins,142,48,Pauley Pavilion,False,False
400913874,2016-11-19,2017,Stanford Cardinal,Gonzaga Bulldogs,63,68,Gonzaga Bulldogs,131,5,Maples Pavilion,False,False
400911969,2016-11-19,2017,Stony Brook Seawolves,Syracuse Orange,60,78,Syracuse Orange,138,18,Island FCU Arena,False,False
400913871,2016-11-19,2017,Oregon State Beavers,Portland Pilots,62,45,Oregon State Beavers,107,17,Gill Coliseum,False,False
400917341,2016-11-19,2017,Ohio State Buckeyes,LIU Brooklyn Blackbirds,113,54,Ohio State Buckeyes,167,59,Value City Arena,False,False
400911069,2016-11-19,2017,BYU Cougars,Oklahoma Sooners,61,68,Oklahoma Sooners,129,7,Marriott Center,False,False
400911280,2016-11-19,2017,Marquette Golden Eagles,Arizona State Sun Devils,75,63,Marquette Golden Eagles,138,12,Al McGuire Center,False,False
400911649,2016-11-19,2017,Florida Gators,Temple Owls,83,76,Florida Gators,159,7,Patriot Gym,True,False
400911281,2016-11-20,2017,DePaul Blue Demons,Northwestern Wildcats,89,66,DePaul Blue Demons,155,23,McGrath-Phillips Arena,False,False
400911067,2016-11-19,2017,West Virginia Mountaineers,Coppin State Eagles,69,39,West Virginia Mountaineers,108,30,WVU Coliseum,False,False
400912939,2016-11-19,2017,Western Kentucky Lady Toppers,Indiana Hoosiers,85,74,Western Kentucky Lady Toppers,159,11,E.A. Diddle Arena,False,False
400905153,2016-11-20,2017,Baylor Bears,Mississippi Valley State Devilettes,101,36,Baylor Bears,137,65,Ferrell Center,False,False
400911652,2016-11-20,2017,LSU Tigers,UConn Huskies,53,76,UConn Huskies,129,23,Pete Maravich Assembly Center,False,False
400913707,2016-11-20,2017,Niagara Purple Eagles,Maryland Terrapins,64,96,Maryland Terrapins,160,32,Gallagher Center,False,False
400911070,2016-11-20,2017,Mississippi State Bulldogs,Texas Longhorns,79,68,Mississippi State Bulldogs,147,11,Humphrey Coliseum,False,False
400911436,2016-11-20,2017,UCLA Bruins,Cal Poly Mustangs,80,64,UCLA Bruins,144,16,Pauley Pavilion,False,False
400911437,2016-11-20,2017,Stanford Cardinal,Cal State Northridge Matadors,88,54,Stanford Cardinal,142,34,Maples Pavilion,False,False
400911973,2016-11-20,2017,Florida State Seminoles,James Madison Dukes,84,64,Florida State Seminoles,148,20,Tucker Center,False,False
400912575,2016-11-20,2017,Penn State Lady Lions,Tennessee Lady Volunteers,70,56,Penn State Lady Lions,126,14,Bryce Jordan Center,False,False
400911283,2016-11-21,2017,St. John's Red Storm,Miami Hurricanes,50,62,Miami Hurricanes,112,12,Carnesecca Arena,False,False
400911981,2016-11-22,2017,Drexel Dragons,Syracuse Orange,62,61,Drexel Dragons,123,1,Daskalakis Athletic Center,False,False
400911989,2016-11-23,2017,Notre Dame Fighting Irish,Louisiana Ragin' Cajuns,91,51,Notre Dame Fighting Irish,142,40,Campbell Center,True,False
400911656,2016-11-23,2017,UConn Huskies,Dayton Flyers,98,65,UConn Huskies,163,33,Gampel Pavilion,False,False
400905154,2016-11-23,2017,Baylor Bears,SE Louisiana Lady Lions,109,38,Baylor Bears,147,71,Ferrell Center,False,False
400913395,2016-11-23,2017,Washington Huskies,Idaho Vandals,105,53,Washington Huskies,158,52,Alaska Airlines Arena,False,False
400911852,2016-11-22,2017,Arkansas State Red Wolves,Florida Gators,60,71,Florida Gators,131,11,First National Bank Arena,False,False
400911289,2016-11-23,2017,Oregon State Beavers,Marquette Golden Eagles,73,74,Marquette Golden Eagles,147,1,Gill Coliseum,False,False
400913880,2016-11-23,2017,Oregon Ducks,Michigan State Spartans,88,55,Oregon Ducks,143,33,Matthew Knight Arena,False,False
400911080,2016-11-24,2017,Oklahoma Sooners,South Dakota State Jackrabbits,74,60,Oklahoma Sooners,134,14,Lloyd Noble Center,False,False
400911078,2016-11-24,2017,Texas Longhorns,Northwestern State Lady Demons,86,39,Texas Longhorns,125,47,Frank Erwin Center,False,False
400912534,2016-11-24,2017,Kentucky Wildcats,Morehead State Eagles,74,47,Kentucky Wildcats,121,27,Memorial Coliseum (KY),False,False
400912280,2016-11-24,2017,Stanford Cardinal,Northeastern Huskies,74,45,Stanford Cardinal,119,29,Hard Rock Hotel Riviera Maya,True,False
400911293,2016-11-24,2017,Georgetown Hoyas,Wright State Raiders,67,60,Georgetown Hoyas,127,7,Ocean Center,True,False
