game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
400595362,20141115,2015,2,False,False,12707,Crisler Center,True,Michigan Wolverines,130,92,24,Hillsdale Chargers,2273,68,99,home,160,24
400598550,20141115,2015,2,False,False,0,Moore Gymnasium (FL),True,Bethune-Cookman Wildcats,2065,91,99,Trinity (FL) Tigers,3155,69,99,home,160,22
400588323,20141115,2015,2,False,False,7854,Capital One Arena,True,Georgetown Hoyas,46,83,99,St. Francis Brooklyn Terriers,2597,62,99,home,145,21
400589246,20141115,2015,2,False,False,6745,Pete Maravich Assembly Center,True,LSU Tigers,99,93,99,Gardner-Webb Runnin' Bulldogs,2241,82,99,home,175,11
400586115,20141115,2015,2,False,False,6271,Tucker Center,True,Florida State Seminoles,52,81,99,Manhattan Jaspers,2363,66,99,home,147,15
400591088,20141115,2015,2,False,False,2397,UPMC Cooper Fieldhouse,True,Duquesne Dukes,2184,91,99,Bluefield State Big Blues,2073,51,99,home,142,40
400591087,20141115,2015,2,False,False,3884,John M. Belk Arena,True,Davidson Wildcats,2166,102,99,Catholic Cardinals,2108,66,99,home,168,36
400588636,20141115,2015,2,False,False,4582,Alico Arena,True,Florida Gulf Coast Eagles,526,63,99,Nova Southeastern Sharks,2470,51,99,home,114,12
400587389,20141115,2015,2,False,False,7115,Convocation Center (OH),True,Ohio Bobcats,195,73,99,App State Mountaineers,2026,47,99,home,120,26
400586116,20141115,2015,2,False,False,1340,Koessler Athletic Center,True,Canisius Golden Griffins,2099,64,99,Vermont Catamounts,261,60,99,home,124,4
400585878,20141115,2015,2,False,False,3716,McLeod Center,True,Northern Iowa Panthers,2460,64,99,North Dakota Fighting Hawks,155,52,99,home,116,12
400587029,20141115,2015,2,False,False,3400,Tom Gola Arena,True,La Salle Explorers,2325,57,99,Colgate Raiders,2142,52,99,home,109,5
400586299,20141115,2015,2,False,False,3362,Knapp Center,True,Drake Bulldogs,2181,58,99,Bowling Green Falcons,189,77,99,away,135,19
400586297,20141115,2015,2,False,False,4238,Ford Center,True,Evansville Purple Aces,339,116,99,Earlham College Quakers,2189,45,99,home,161,71
400597767,20141115,2015,2,False,False,3201,Resch Center,True,Green Bay Phoenix,2739,88,99,Illinois-Springfield Prairie Stars,542,57,99,home,145,31
400589247,20141115,2015,2,False,False,2328,Winthrop Coliseum,True,Winthrop Eagles,2737,82,99,Pfeiffer Falcons,2945,59,99,home,141,23
400587390,20141115,2015,2,False,False,981,NIU Convocation Center,True,Northern Illinois Huskies,2459,86,99,Aurora Spartans,2044,56,99,home,142,30
400591303,20141115,2015,2,False,False,2535,The Palestra,True,Pennsylvania Quakers,219,75,99,Delaware State Hornets,2169,77,99,away,152,2
400588324,20141115,2015,2,False,False,7652,Hinkle Fieldhouse,True,Butler Bulldogs,2086,99,99,Maine Black Bears,311,57,99,home,156,42
400591343,20141115,2015,2,False,False,4572,E.A. Diddle Arena,True,Western Kentucky Hilltoppers,98,77,99,Austin Peay Governors,2046,70,99,home,147,7
400607368,20141115,2015,2,True,False,0,Christl Arena,True,Air Force Falcons,2005,68,99,The Citadel Bulldogs,2643,55,99,home,123,13
400587215,20141115,2015,2,True,False,1362,Gersten Pavilion,True,San Diego Toreros,301,67,99,Southeast Missouri State Redhawks,2546,56,99,home,123,11
400591553,20141115,2015,2,False,False,5060,Lawlor Events Center,True,Nevada Wolf Pack,2440,65,99,Cal Poly Mustangs,13,49,99,home,114,16
400595900,20141115,2015,2,False,False,2341,SRC Arena,True,UC Riverside Highlanders,27,75,99,UC San Diego Tritons,28,52,99,home,127,23
400595899,20141115,2015,2,False,False,4727,Walter Pyramid,True,Long Beach State Beach,299,74,99,San Francisco State Gators,22,64,99,home,138,10
400591341,20141115,2015,2,False,False,6619,Chartway Arena,True,Old Dominion Monarchs,295,76,99,UNC Wilmington Seahawks,350,56,99,home,132,20
400591089,20141115,2015,2,False,False,3837,Reilly Center,True,St. Bonaventure Bonnies,179,77,99,Dartmouth Big Green,159,57,99,home,134,20
400588325,20141115,2015,2,False,False,9599,Amica Mutual Pavilion,True,Providence Friars,2507,64,99,UAlbany Great Danes,399,60,99,home,124,4
400587391,20141115,2015,2,False,False,2840,Beeghly Center,True,Youngstown State Penguins,2754,61,99,Kent State Golden Flashes,2309,69,99,away,130,8
400588635,20141115,2015,2,False,False,866,G.B. Hodge Center,True,South Carolina Upstate Spartans,2908,78,99,Florida A&M Rattlers,50,65,99,home,143,13
400607369,20141115,2015,2,False,False,1060,Christl Arena,True,Army Black Knights,349,92,99,VMI Keydets,2678,86,99,home,178,6
400591342,20141115,2015,2,False,False,2403,Bartow Arena,True,UAB Blazers,5,65,99,UL Monroe Warhawks,2433,74,99,away,139,9
400587216,20141115,2015,2,False,False,1326,Gersten Pavilion,True,Loyola Marymount Lions,2351,69,99,Boise State Broncos,68,77,99,away,146,8
400586668,20141115,2015,2,False,False,6534,Mabee Center,True,Oral Roberts Golden Eagles,198,77,99,Tulsa Golden Hurricane,202,68,99,home,145,9
400586298,20141115,2015,2,False,False,10015,Chaifetz Arena,True,Saint Louis Billikens,139,62,99,Southern Illinois Salukis,79,59,99,home,121,3
400586117,20141115,2015,2,False,False,9314,Cameron Indoor Stadium,True,Duke Blue Devils,150,109,99,Fairfield Stags,2217,59,99,home,168,50
400599889,20141115,2015,2,False,False,1203,Leavey Center,True,Santa Clara Broncos,2541,70,99,San Diego Christian Hawks,3096,58,99,home,128,12
