game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
401430482,2022-05-01,2022,Connecticut Sun,Atlanta Dream,94,78,Connecticut Sun,172,16,Mohegan Sun Arena,False,False
401430483,2022-05-01,2022,Minnesota Lynx,Las Vegas Aces,89,86,Minnesota Lynx,175,3,Target Center,False,False
401430484,2022-05-02,2022,Dallas Wings,Indiana Fever,101,89,Dallas Wings,190,12,College Park Center,False,False
401391650,2022-05-06,2022,Washington Mystics,Indiana Fever,84,70,Washington Mystics,154,14,CareFirst Arena,False,False
401391651,2022-05-07,2022,Chicago Sky,Los Angeles Sparks,91,98,Los Angeles Sparks,189,7,Wintrust Arena,False,False
401391652,2022-05-07,2022,Phoenix Mercury,Las Vegas Aces,88,106,Las Vegas Aces,194,18,Mortgage Matchup Center,False,False
401391653,2022-05-07,2022,Seattle Storm,Minnesota Lynx,97,74,Seattle Storm,171,23,Climate Pledge Arena,False,False
401391654,2022-05-07,2022,New York Liberty,Connecticut Sun,81,79,New York Liberty,160,2,Barclays Center,False,False
401391655,2022-05-08,2022,Dallas Wings,Atlanta Dream,59,66,Atlanta Dream,125,7,College Park Center,False,False
401391656,2022-05-08,2022,Indiana Fever,Los Angeles Sparks,77,87,Los Angeles Sparks,164,10,Gainbridge Fieldhouse,False,False
401391658,2022-05-09,2022,Minnesota Lynx,Washington Mystics,66,78,Washington Mystics,144,12,Target Center,False,False
401391657,2022-05-09,2022,Las Vegas Aces,Seattle Storm,85,74,Las Vegas Aces,159,11,Michelob ULTRA Arena,False,False
401391659,2022-05-10,2022,Washington Mystics,Las Vegas Aces,89,76,Washington Mystics,165,13,CareFirst Arena,False,False
401391660,2022-05-10,2022,Indiana Fever,Minnesota Lynx,82,76,Indiana Fever,158,6,Gainbridge Fieldhouse,False,False
401391661,2022-05-11,2022,Atlanta Dream,Los Angeles Sparks,77,75,Atlanta Dream,152,2,Gateway Center,False,False
401391662,2022-05-12,2022,Chicago Sky,New York Liberty,83,50,Chicago Sky,133,33,Wintrust Arena,False,False
401391663,2022-05-12,2022,Phoenix Mercury,Seattle Storm,97,77,Phoenix Mercury,174,20,Mortgage Matchup Center,False,False
401391664,2022-05-13,2022,Washington Mystics,Dallas Wings,86,94,Dallas Wings,180,8,CareFirst Arena,False,False
401391665,2022-05-13,2022,Atlanta Dream,Las Vegas Aces,73,96,Las Vegas Aces,169,23,Gateway Center,False,False
401391666,2022-05-14,2022,New York Liberty,Indiana Fever,86,92,Indiana Fever,178,6,Barclays Center,False,False
401391667,2022-05-14,2022,Seattle Storm,Phoenix Mercury,64,69,Phoenix Mercury,133,5,Climate Pledge Arena,False,False
401391668,2022-05-14,2022,Connecticut Sun,Los Angeles Sparks,77,60,Connecticut Sun,137,17,Mohegan Sun Arena,False,False
401391669,2022-05-15,2022,Minnesota Lynx,Chicago Sky,78,82,Chicago Sky,160,4,Target Center,False,False
401391670,2022-05-15,2022,New York Liberty,Dallas Wings,71,81,Dallas Wings,152,10,Barclays Center,False,False
401391671,2022-05-15,2022,Indiana Fever,Atlanta Dream,79,85,Atlanta Dream,164,6,Gainbridge Fieldhouse,False,False
401391672,2022-05-17,2022,New York Liberty,Connecticut Sun,65,92,Connecticut Sun,157,27,Barclays Center,False,False
401391673,2022-05-17,2022,Indiana Fever,Atlanta Dream,79,101,Atlanta Dream,180,22,Gainbridge Fieldhouse,False,False
401391674,2022-05-18,2022,Dallas Wings,Washington Mystics,68,84,Washington Mystics,152,16,College Park Center,False,False
401391675,2022-05-18,2022,Las Vegas Aces,Phoenix Mercury,86,74,Las Vegas Aces,160,12,Michelob ULTRA Arena,False,False
401391676,2022-05-18,2022,Los Angeles Sparks,Minnesota Lynx,84,87,Minnesota Lynx,171,3,crypto.com Arena,False,False
401391677,2022-05-19,2022,Seattle Storm,Chicago Sky,74,71,Seattle Storm,145,3,Climate Pledge Arena,False,False
401391678,2022-05-20,2022,Las Vegas Aces,Minnesota Lynx,93,87,Las Vegas Aces,180,6,Michelob ULTRA Arena,False,False
401391679,2022-05-20,2022,Phoenix Mercury,Dallas Wings,84,94,Dallas Wings,178,10,Mortgage Matchup Center,False,False
401391680,2022-05-20,2022,Connecticut Sun,Indiana Fever,94,85,Connecticut Sun,179,9,Mohegan Sun Arena,False,False
401391681,2022-05-20,2022,Atlanta Dream,Washington Mystics,73,78,Washington Mystics,151,5,Gateway Center,False,False
401391682,2022-05-21,2022,Seattle Storm,Los Angeles Sparks,83,80,Seattle Storm,163,3,Climate Pledge Arena,False,False
401391683,2022-05-21,2022,Las Vegas Aces,Phoenix Mercury,100,80,Las Vegas Aces,180,20,Michelob ULTRA Arena,False,False
401391684,2022-05-22,2022,Dallas Wings,Minnesota Lynx,94,78,Dallas Wings,172,16,College Park Center,False,False
401391685,2022-05-22,2022,Indiana Fever,Connecticut Sun,70,92,Connecticut Sun,162,22,Gainbridge Fieldhouse,False,False
401391686,2022-05-22,2022,Washington Mystics,Chicago Sky,73,82,Chicago Sky,155,9,CareFirst Arena,False,False
401391687,2022-05-24,2022,Las Vegas Aces,Los Angeles Sparks,104,76,Las Vegas Aces,180,28,Michelob ULTRA Arena,False,False
401391688,2022-05-24,2022,Connecticut Sun,Dallas Wings,77,85,Dallas Wings,162,8,Mohegan Sun Arena,False,False
401391689,2022-05-24,2022,Washington Mystics,Atlanta Dream,70,50,Washington Mystics,120,20,CareFirst Arena,False,False
401391690,2022-05-25,2022,Chicago Sky,Indiana Fever,95,90,Chicago Sky,185,5,Wintrust Arena,False,False
401391691,2022-05-25,2022,Minnesota Lynx,New York Liberty,84,78,Minnesota Lynx,162,6,Target Center,False,False
401391692,2022-05-26,2022,Los Angeles Sparks,Phoenix Mercury,99,94,Los Angeles Sparks,193,5,crypto.com Arena,False,False
401391693,2022-05-26,2022,Connecticut Sun,Dallas Wings,99,68,Connecticut Sun,167,31,Mohegan Sun Arena,False,False
401391694,2022-05-27,2022,Indiana Fever,Los Angeles Sparks,101,96,Indiana Fever,197,5,Corteva Coliseum,False,False
401391695,2022-05-28,2022,Seattle Storm,New York Liberty,79,71,Seattle Storm,150,8,Climate Pledge Arena,False,False
401391696,2022-05-28,2022,Chicago Sky,Las Vegas Aces,76,83,Las Vegas Aces,159,7,Wintrust Arena,False,False
401391697,2022-05-28,2022,Connecticut Sun,Washington Mystics,79,71,Connecticut Sun,150,8,Mohegan Sun Arena,False,False
401391698,2022-05-29,2022,Atlanta Dream,Phoenix Mercury,81,54,Atlanta Dream,135,27,Gateway Center,False,False
401391699,2022-05-29,2022,Seattle Storm,New York Liberty,92,61,Seattle Storm,153,31,Climate Pledge Arena,False,False
401391700,2022-05-29,2022,Minnesota Lynx,Los Angeles Sparks,83,85,Los Angeles Sparks,168,2,Target Center,False,False
401391701,2022-05-31,2022,Indiana Fever,Washington Mystics,75,87,Washington Mystics,162,12,Corteva Coliseum,False,False
401391702,2022-05-31,2022,Chicago Sky,Phoenix Mercury,73,70,Chicago Sky,143,3,Wintrust Arena,False,False
401391703,2022-06-01,2022,Las Vegas Aces,Connecticut Sun,89,81,Las Vegas Aces,170,8,Michelob ULTRA Arena,False,False
401391704,2022-06-01,2022,Los Angeles Sparks,Dallas Wings,93,91,Los Angeles Sparks,184,2,crypto.com Arena,False,False
401391705,2022-06-01,2022,Atlanta Dream,Minnesota Lynx,84,76,Atlanta Dream,160,8,Gateway Center,False,False
401391706,2022-06-01,2022,New York Liberty,Indiana Fever,87,74,New York Liberty,161,13,Barclays Center,False,False
401391707,2022-06-03,2022,Las Vegas Aces,Connecticut Sun,90,97,Connecticut Sun,187,7,Michelob ULTRA Arena,False,False
401391708,2022-06-03,2022,Washington Mystics,New York Liberty,70,74,New York Liberty,144,4,CareFirst Arena,False,False
401391709,2022-06-03,2022,Atlanta Dream,Chicago Sky,65,73,Chicago Sky,138,8,Gateway Center,False,False
401391710,2022-06-04,2022,Phoenix Mercury,Connecticut Sun,88,92,Connecticut Sun,180,4,Mortgage Matchup Center,False,False
401391711,2022-06-04,2022,Seattle Storm,Dallas Wings,51,68,Dallas Wings,119,17,Climate Pledge Arena,False,False
401391712,2022-06-05,2022,New York Liberty,Minnesota Lynx,77,84,Minnesota Lynx,161,7,Barclays Center,False,False
401391713,2022-06-05,2022,Atlanta Dream,Indiana Fever,75,66,Atlanta Dream,141,9,Gateway Center,False,False
401391714,2022-06-05,2022,Chicago Sky,Washington Mystics,91,82,Chicago Sky,173,9,Wintrust Arena,False,False
401391715,2022-06-05,2022,Las Vegas Aces,Dallas Wings,84,78,Las Vegas Aces,162,6,Michelob ULTRA Arena,False,False
401391716,2022-06-05,2022,Phoenix Mercury,Los Angeles Sparks,81,74,Phoenix Mercury,155,7,Mortgage Matchup Center,False,False
401391717,2022-06-05,2022,Seattle Storm,Connecticut Sun,86,93,Connecticut Sun,179,7,Climate Pledge Arena,False,False
401391718,2022-06-08,2022,New York Liberty,Minnesota Lynx,88,69,New York Liberty,157,19,Barclays Center,False,False
401391719,2022-06-08,2022,Seattle Storm,Atlanta Dream,72,60,Seattle Storm,132,12,Climate Pledge Arena,False,False
401391720,2022-06-08,2022,Connecticut Sun,Indiana Fever,88,69,Connecticut Sun,157,19,Mohegan Sun Arena,False,False
401391721,2022-06-09,2022,Washington Mystics,Chicago Sky,84,82,Washington Mystics,166,2,CareFirst Arena,False,False
401391722,2022-06-10,2022,Connecticut Sun,Chicago Sky,79,83,Chicago Sky,162,4,Mohegan Sun Arena,False,False
401391723,2022-06-10,2022,Indiana Fever,New York Liberty,83,97,New York Liberty,180,14,Corteva Coliseum,False,False
401391724,2022-06-11,2022,Dallas Wings,Seattle Storm,88,89,Seattle Storm,177,1,College Park Center,False,False
401391725,2022-06-11,2022,Minnesota Lynx,Washington Mystics,59,76,Washington Mystics,135,17,Target Center,False,False
401391726,2022-06-11,2022,Phoenix Mercury,Atlanta Dream,90,88,Phoenix Mercury,178,2,Mortgage Matchup Center,False,False
401391727,2022-06-12,2022,Los Angeles Sparks,Las Vegas Aces,72,89,Las Vegas Aces,161,17,crypto.com Arena,False,False
401391728,2022-06-12,2022,New York Liberty,Chicago Sky,86,88,Chicago Sky,174,2,Barclays Center,False,False
401391729,2022-06-12,2022,Dallas Wings,Seattle Storm,79,84,Seattle Storm,163,5,College Park Center,False,False
401391730,2022-06-12,2022,Washington Mystics,Phoenix Mercury,90,99,Phoenix Mercury,189,9,CareFirst Arena,False,False
401391731,2022-06-12,2022,Minnesota Lynx,Indiana Fever,80,84,Indiana Fever,164,4,Target Center,False,False
401391732,2022-06-14,2022,Washington Mystics,Phoenix Mercury,83,65,Washington Mystics,148,18,CareFirst Arena,False,False
401391733,2022-06-15,2022,Minnesota Lynx,Seattle Storm,79,81,Seattle Storm,160,2,Target Center,False,False
401391734,2022-06-15,2022,Dallas Wings,Las Vegas Aces,84,92,Las Vegas Aces,176,8,College Park Center,False,False
401391735,2022-06-15,2022,Connecticut Sun,Atlanta Dream,105,92,Connecticut Sun,197,13,Mohegan Sun Arena,False,False
401391736,2022-06-15,2022,Indiana Fever,Phoenix Mercury,80,93,Phoenix Mercury,173,13,Corteva Coliseum,False,False
401391737,2022-06-16,2022,New York Liberty,Washington Mystics,77,65,New York Liberty,142,12,Barclays Center,False,False
401391738,2022-06-17,2022,Connecticut Sun,Seattle Storm,82,71,Connecticut Sun,153,11,Mohegan Sun Arena,False,False
401391739,2022-06-18,2022,Dallas Wings,Phoenix Mercury,93,88,Dallas Wings,181,5,College Park Center,False,False
