game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401083509,20181107,2019,2,False,False,6819,Schollmaier Arena,True,TCU Horned Frogs,2628,66,20,Cal State Bakersfield Roadrunners,2934,61,99,home,127,5
401082547,20181107,2019,2,False,False,12012,Fifth Third Arena,True,Cincinnati Bearcats,2132,56,99,Ohio State Buckeyes,194,64,99,away,120,8
401090978,20181107,2019,2,False,False,1647,Burr Gymnasium,True,Howard Bison,47,115,99,Washington Adventist Shock,408,91,99,home,206,24
401088904,20181107,2019,2,False,False,3292,Nutter Center,True,Wright State Raiders,2750,96,99,Western Carolina Catamounts,2717,73,99,home,169,23
401088182,20181107,2019,2,False,False,5189,Baptist Health Arena,True,Eastern Kentucky Colonels,2198,77,99,Marshall Thundering Herd,276,105,99,away,182,28
401088036,20181107,2019,2,False,False,1214,Hanner Fieldhouse,True,Georgia Southern Eagles,290,139,99,Carver College Cougars,3117,51,99,home,190,88
401087788,20181107,2019,2,False,False,386,Pope Physical Education Center,True,St. Francis Brooklyn Terriers,2597,92,99,Medgar Evers Cougars,2380,42,99,home,134,50
401087395,20181107,2019,2,False,False,4032,Convocation Center (OH),True,Ohio Bobcats,195,97,99,Wilberforce Bulldogs,2726,61,99,home,158,36
401087354,20181107,2019,2,False,False,877,Ocean Bank Convocation Center,True,Florida International Panthers,2229,110,99,Webber International Warriors,2691,84,99,home,194,26
401087334,20181107,2019,2,False,False,1098,Eleanor R. Baldwin Arena,True,Florida Atlantic Owls,2226,98,99,Florida Tech Panthers,53,52,99,home,150,46
401086794,20181107,2019,2,False,False,386,Edmunds Center,True,Stetson Hatters,56,116,99,Johnson University Florida Suns,3097,66,99,home,182,50
401086058,20181107,2019,2,False,False,1210,Yanitelli Center,True,Saint Peter's Peacocks,2612,93,99,Lafayette Leopards,322,86,99,home,179,7
401085884,20181107,2019,2,False,False,3301,Kaplan Arena,True,William & Mary Tribe,2729,79,99,High Point Panthers,2272,69,99,home,148,10
401085717,20181107,2019,2,False,False,4668,Reilly Center,True,St. Bonaventure Bonnies,179,85,99,Bucknell Bison,2083,88,99,away,173,3
401085596,20181107,2019,2,False,False,12522,UD Arena,True,Dayton Flyers,2168,78,99,North Florida Ospreys,2454,70,99,home,148,8
401090242,20181107,2019,2,False,False,901,KSU Convocation Center,True,Kennesaw State Owls,338,68,99,Oglethorpe Stormy Petrels,2476,57,99,home,125,11
401083291,20181107,2019,2,False,False,3710,Wintrust Arena,True,DePaul Blue Demons,305,80,99,Bethune-Cookman Wildcats,2065,58,99,home,138,22
401090313,20181107,2019,2,False,False,1006,UTSA Convocation Center,True,UTSA Roadrunners,2636,76,99,St. Edward's Hilltoppers,244,77,99,away,153,1
401089406,20181107,2019,2,False,False,1785,Sanford Coyote Sports Center,True,South Dakota Coyotes,233,83,99,York College Nebraska Panthers,109998,58,99,home,141,25
401089164,20181107,2019,2,False,False,4610,Carver Arena,True,Bradley Braves,71,74,99,UW-Parkside Rangers,2742,58,99,home,132,16
401089113,20181107,2019,2,False,False,1097,American Bank Center,True,Texas A&M-Corpus Christi Islanders,357,81,99,Howard Payne Yellow Jackets,2758,34,99,home,115,47
401089647,20181107,2019,2,False,False,0,Moby Arena,True,Colorado State Rams,36,100,99,Colorado Christian Cougars,2862,66,99,home,166,34
