Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
1,Connecticut,Big East,,37,3,81.4,63.4,18.00,,8.70,,12.04,14.67,26.70,127.65,89.05,38.60,2024
2,Houston,Big 12,,32,5,73.5,57.6,15.89,,9.80,,6.19,19.50,25.69,120.40,81.96,38.45,2024
3,Purdue,Big Ten,,34,5,82.3,69.0,13.33,,11.60,,14.65,10.29,24.93,126.62,91.31,35.31,2024
4,Arizona,Pac-12,,27,9,87.1,72.1,15.08,,9.45,,18.59,5.95,24.54,122.12,89.17,32.95,2024
5,Auburn,SEC,,27,8,83.1,68.3,14.80,,7.66,,13.48,8.98,22.46,121.57,90.09,31.48,2024
6,Iowa State,Big 12,,29,8,75.3,61.5,13.78,,8.51,,7.34,14.96,22.30,116.88,84.75,32.13,2024
7,Tennessee,SEC,,27,9,78.8,67.4,11.39,,10.42,,9.93,11.88,21.81,117.86,87.09,30.77,2024
8,North Carolina,ACC,,29,8,81.9,70.5,11.46,,9.90,,14.07,7.29,21.36,120.54,90.49,30.06,2024
9,Alabama,SEC,,25,12,90.1,81.2,8.89,,11.80,,21.71,-1.02,20.69,126.91,98.07,28.84,2024
10,Duke,ACC,,27,9,78.6,66.3,12.31,,8.36,,10.40,10.27,20.67,122.91,92.47,30.43,2024
11,Creighton,Big East,,25,10,80.4,69.9,10.54,,9.53,,12.41,7.66,20.07,122.98,94.05,28.93,2024
12,Illinois,Big Ten,,29,9,83.4,73.3,10.03,,9.54,,16.22,3.34,19.56,124.46,96.86,27.60,2024
13,Baylor,Big 12,,24,11,80.4,71.1,9.29,,10.71,,12.88,6.62,19.50,125.34,97.03,28.31,2024
14,Brigham Young,Big 12,,23,11,81.4,69.9,11.47,,7.86,,13.05,6.28,19.33,121.51,94.14,27.37,2024
15,Marquette,Big East,,27,10,78.1,69.8,8.24,,11.02,,11.10,8.16,19.27,119.62,92.61,27.01,2024
16,Gonzaga,WCC,,27,8,84.5,69.1,15.40,,4.02,,12.87,5.06,17.93,122.62,97.22,25.41,2024
17,Michigan State,Big Ten,,20,15,72.9,66.1,6.83,,10.89,,4.42,13.30,17.72,115.32,90.23,25.09,2024
18,Kentucky,SEC,,23,10,89.0,79.7,9.33,,7.46,,19.16,-2.37,16.79,122.17,99.28,22.89,2024
19,St. John's (NY),Big East,,20,13,78.8,71.9,6.91,,9.58,,11.01,5.47,16.49,118.80,95.19,23.61,2024
20,Kansas,Big 12,,23,11,75.6,69.9,5.68,,11.32,,8.37,7.99,16.35,115.37,92.19,23.19,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
21,Saint Mary's (CA),WCC,,26,8,74.0,59.2,14.79,,3.46,,1.55,14.77,16.31,115.39,90.41,24.98,2024
22,Clemson,ACC,,24,12,77.4,71.2,6.17,,10.04,,8.11,8.10,16.20,118.69,95.62,23.07,2024
23,Wisconsin,Big Ten,,22,14,74.7,70.0,4.67,,11.35,,7.97,8.05,16.01,120.15,96.34,23.81,2024
24,Colorado,Pac-12,,26,11,79.3,71.7,7.59,,8.36,,10.09,5.86,15.95,118.90,96.38,22.52,2024
25,Texas,Big 12,,21,13,75.4,68.9,6.50,,9.41,,7.62,8.28,15.91,116.41,93.36,23.05,2024
26,Florida,SEC,,24,12,85.6,79.2,6.36,,8.81,,16.32,-1.15,15.17,119.81,98.89,20.92,2024
27,Cincinnati,Big 12,,22,15,74.7,68.2,6.57,,8.49,,6.22,8.84,15.06,113.74,92.30,21.44,2024
28,New Mexico,MWC,,26,10,81.0,70.7,10.31,,5.38,,11.78,3.26,15.04,113.90,93.19,20.70,2024
29,Utah,Pac-12,,22,15,78.8,73.2,5.59,,9.41,,10.40,4.60,15.00,115.69,94.62,21.06,2024
30,Texas Tech,Big 12,,23,11,75.3,69.6,5.68,,9.28,,7.52,7.44,14.96,118.26,96.41,21.85,2024
31,Wake Forest,ACC,,21,14,78.1,70.7,7.43,,7.52,,10.05,4.89,14.94,118.30,96.80,21.50,2024
32,Pittsburgh,ACC,,22,11,75.6,67.6,7.97,,6.92,,5.90,8.99,14.89,116.68,95.64,21.04,2024
33,San Diego State,MWC,,26,11,74.1,66.7,7.43,,8.37,,4.78,9.90,14.68,113.41,92.17,21.24,2024
34,Oklahoma,Big 12,,20,12,75.4,68.8,6.59,,8.07,,6.80,7.86,14.66,116.21,95.43,20.78,2024
35,TCU,Big 12,,21,13,79.0,71.7,7.29,,7.32,,10.56,4.06,14.62,114.88,94.91,19.98,2024
36,Villanova,Big East,,18,16,70.2,65.6,4.62,,9.82,,2.29,12.15,14.44,112.93,91.72,21.21,2024
37,Nebraska,Big Ten,,23,11,77.7,70.9,6.82,,7.53,,9.11,5.24,14.36,115.91,95.53,20.38,2024
38,Mississippi State,SEC,,21,14,74.1,69.1,5.03,,9.16,,4.65,9.54,14.19,112.76,92.94,19.82,2024
39,Washington State,Pac-12,,25,10,73.5,66.7,6.83,,7.19,,3.38,10.63,14.02,114.40,94.35,20.05,2024
40,Ohio State,Big Ten,,22,14,75.5,70.2,5.28,,8.37,,6.30,7.35,13.64,115.86,96.61,19.25,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
41,Dayton,A-10,,25,8,74.2,66.5,7.73,,5.73,,4.96,8.49,13.45,118.29,98.15,20.14,2024
42,Indiana State,MVC,,32,7,84.8,73.2,11.67,,2.26,,13.21,0.23,13.44,119.38,100.75,18.63,2024
43,Colorado State,MWC,,25,11,75.2,67.3,7.92,,7.28,,4.71,8.69,13.40,115.56,96.01,19.54,2024
44,Texas A&M,SEC,,21,15,76.0,72.0,4.03,,9.32,,6.79,6.56,13.35,116.92,97.32,19.61,2024
45,Boise State,MWC,,22,11,75.1,67.3,7.82,,7.35,,5.59,7.73,13.31,115.69,95.68,20.02,2024
46,Florida Atlantic,AAC,,25,9,82.0,73.4,8.65,,4.61,,11.07,2.19,13.26,118.32,99.36,18.96,2024
47,Iowa,Big Ten,,19,15,83.1,79.4,3.74,,9.26,,14.77,-1.77,13.00,119.89,102.20,17.68,2024
48,Nevada,MWC,,26,8,75.9,66.9,9.00,,4.58,,5.41,7.44,12.85,114.47,95.82,18.65,2024
49,NC State,ACC,,26,15,75.6,71.8,3.88,,8.93,,7.53,5.28,12.81,114.96,96.71,18.25,2024
50,Northwestern,Big Ten,,22,12,73.3,69.1,4.26,,8.50,,4.74,8.03,12.77,116.38,97.73,18.65,2024
51,Seton Hall,Big East,,25,12,73.8,69.9,3.86,,8.80,,5.23,7.44,12.67,113.62,95.63,17.99,2024
52,Providence,Big East,,21,14,72.4,68.8,3.63,,8.93,,3.51,9.05,12.56,109.25,91.75,17.50,2024
53,Xavier,Big East,,16,18,75.9,74.6,1.21,,11.03,,8.72,3.52,12.23,112.69,95.13,17.56,2024
54,Oregon,Pac-12,,24,12,75.6,72.3,3.31,,8.91,,6.70,5.52,12.22,115.32,97.80,17.52,2024
55,Butler,Big East,,18,15,77.1,73.7,3.39,,9.49,,8.52,3.65,12.18,113.54,96.61,16.93,2024
56,UCF,Big 12,,17,16,71.7,67.9,3.76,,8.17,,3.44,8.49,11.92,108.09,91.42,16.67,2024
57,Virginia Tech,ACC,,19,15,74.9,71.0,3.94,,7.97,,7.19,4.72,11.91,116.44,98.58,17.85,2024
58,Washington,Pac-12,,17,15,80.6,77.1,3.47,,8.38,,12.02,-0.17,11.85,114.91,98.18,16.72,2024
59,Utah State,MWC,,28,7,79.7,71.3,8.31,,5.29,,9.20,2.36,11.56,115.37,98.68,16.68,2024
60,Drake,MVC,,28,7,79.9,70.4,9.54,,1.84,,8.12,2.96,11.08,115.20,99.18,16.02,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
61,Kansas State,Big 12,,19,15,72.2,71.1,1.09,,9.97,,4.57,6.49,11.06,109.81,93.87,15.94,2024
62,South Carolina,SEC,,26,8,72.1,67.6,4.50,,6.48,,1.62,9.36,10.98,114.07,97.96,16.11,2024
63,Maryland,Big Ten,,16,17,69.0,65.9,3.15,,7.44,,0.07,10.53,10.60,107.55,92.75,14.80,2024
64,Grand Canyon,WAC,,30,5,79.1,67.0,12.09,,-0.52,,5.21,5.24,10.45,111.56,96.28,15.28,2024
65,Virginia,ACC,,23,11,62.9,59.8,3.15,,7.31,,-6.89,17.35,10.45,105.99,90.47,15.52,2024
66,Southern Methodist,AAC,,20,13,76.8,68.8,8.00,,2.56,,4.72,5.50,10.22,111.49,97.01,14.48,2024
67,San Francisco,WCC,,23,11,77.7,66.5,11.21,,0.23,,3.62,6.06,9.68,112.13,97.28,14.85,2024
68,Miami (FL),ACC,,15,17,75.8,73.6,2.13,,7.46,,6.47,3.12,9.59,111.90,99.40,12.49,2024
69,Florida State,ACC,,17,16,76.5,76.3,0.24,,9.27,,7.57,1.94,9.52,110.92,97.59,13.33,2024
