Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
70,Minnesota,Big Ten,,19,15,75.0,71.9,3.12,,6.40,,4.99,4.52,9.51,113.09,99.91,13.18,2024
71,Boston College,ACC,,20,16,74.1,71.9,2.22,,7.25,,5.62,3.85,9.48,113.82,100.27,13.55,2024
72,Bradley,MVC,,23,12,74.1,67.1,6.97,,2.96,,3.47,6.01,9.48,112.51,98.58,13.93,2024
73,Southern California,Pac-12,,15,18,74.1,74.3,-0.18,,9.54,,5.46,3.90,9.36,110.79,97.76,13.03,2024
74,Penn State,Big Ten,,16,17,75.1,73.4,1.70,,7.52,,6.50,2.72,9.22,111.19,98.10,13.10,2024
75,Memphis,AAC,,22,10,80.5,75.8,4.75,,4.25,,9.94,-0.95,9.00,112.77,100.09,12.69,2024
76,Virginia Commonwealth,A-10,,24,14,71.0,66.7,4.29,,4.41,,0.79,7.91,8.70,109.46,96.60,12.86,2024
77,Georgia,SEC,,20,17,74.7,74.7,0.00,,8.63,,4.45,4.19,8.63,108.87,96.46,12.42,2024
78,Syracuse,ACC,,20,12,76.3,75.6,0.69,,9.40,,6.91,1.61,8.53,110.90,98.49,12.41,2024
79,North Texas,AAC,,19,15,69.2,63.8,5.41,,4.28,,-3.08,11.49,8.41,109.98,97.27,12.71,2024
80,Nevada-Las Vegas,MWC,,21,13,73.6,68.9,4.71,,6.25,,3.28,5.10,8.38,112.89,100.24,12.65,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
81,Mississippi,SEC,,20,12,74.9,73.9,1.03,,7.27,,4.79,3.50,8.30,112.84,101.09,11.74,2024
82,James Madison,Sun Belt,,32,4,83.2,69.6,13.58,,-3.75,,7.33,0.87,8.19,111.21,100.04,11.18,2024
83,Louisiana State,SEC,,17,16,76.4,75.0,1.39,,6.75,,6.57,1.57,8.14,111.04,99.45,11.59,2024
84,Indiana,Big Ten,,19,14,72.3,74.3,-2.00,,9.74,,3.98,3.76,7.74,110.01,98.89,11.12,2024
85,Richmond,A-10,,23,10,71.9,66.3,5.58,,2.09,,0.46,7.20,7.67,107.87,96.90,10.97,2024
86,Massachusetts,A-10,,20,11,77.5,70.7,6.71,,0.88,,5.34,2.25,7.59,111.26,100.62,10.64,2024
87,UCLA,Pac-12,,16,17,66.0,65.5,0.52,,7.84,,-3.73,11.23,7.50,107.73,96.87,10.86,2024
88,Rutgers,Big Ten,,15,17,65.4,66.5,-1.16,,8.57,,-3.23,10.64,7.41,100.21,89.86,10.35,2024
89,South Florida,AAC,,25,8,75.7,69.3,6.39,,0.97,,3.37,4.00,7.37,110.22,99.61,10.62,2024
90,Duquesne,A-10,,25,12,70.6,66.7,3.89,,4.68,,-0.49,7.84,7.35,107.08,96.48,10.61,2024
91,Stanford,Pac-12,,14,18,76.3,76.5,-0.13,,7.48,,6.97,0.39,7.35,110.95,101.10,9.86,2024
92,UC Irvine,Big West,,24,10,77.6,68.3,9.35,,-0.93,,3.49,3.40,6.89,108.65,99.11,9.54,2024
93,St. Bonaventure,A-10,,20,13,73.5,68.6,4.82,,1.95,,2.73,4.04,6.77,112.77,102.79,9.98,2024
94,Saint Joseph's,A-10,,21,14,75.5,70.5,4.91,,1.67,,4.41,2.18,6.59,110.48,100.82,9.67,2024
95,Loyola (IL),A-10,,23,10,73.1,67.5,5.58,,2.42,,0.80,5.78,6.57,104.55,94.73,9.82,2024
96,Princeton,Ivy,,24,5,77.1,66.6,10.45,,-1.60,,3.46,3.09,6.55,115.90,105.39,10.51,2024
97,McNeese State,Southland,,30,4,80.0,62.2,17.74,,-6.81,,1.46,4.96,6.42,113.18,102.58,10.60,2024
98,George Mason,A-10,,20,12,71.0,65.9,5.13,,1.85,,-1.34,7.70,6.36,109.45,99.73,9.72,2024
99,Samford,Southern,,29,6,86.1,74.5,11.57,,-3.23,,10.58,-4.26,6.32,112.06,104.02,8.04,2024
100,Oklahoma State,Big 12,,12,20,71.0,72.7,-1.72,,7.97,,2.57,3.68,6.25,109.09,100.48,8.61,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
101,Arkansas,SEC,,16,17,77.8,79.8,-2.03,,8.15,,7.46,-1.35,6.12,109.70,101.34,8.36,2024
102,Appalachian State,Sun Belt,,27,7,78.4,67.1,11.24,,-2.34,,1.75,4.29,6.04,106.44,97.49,8.94,2024
103,Santa Clara,WCC,,20,13,76.9,72.2,4.67,,1.73,,4.63,0.76,5.39,109.48,102.05,7.43,2024
104,Michigan,Big Ten,,8,24,72.9,79.0,-6.06,,11.34,,4.89,0.40,5.28,110.96,103.89,7.07,2024
105,UAB,AAC,,23,12,77.5,75.1,2.40,,3.73,,5.85,-0.71,5.14,111.80,104.45,7.35,2024
106,California,Pac-12,,13,19,74.0,77.0,-3.06,,8.00,,4.77,0.17,4.94,109.06,101.59,7.48,2024
107,Notre Dame,ACC,,13,20,64.0,67.2,-3.12,,8.06,,-4.29,9.23,4.94,103.33,96.43,6.90,2024
108,Louisiana Tech,CUSA,,22,10,74.8,64.5,10.22,,-1.69,,-0.67,5.50,4.83,106.25,98.69,7.57,2024
109,Yale,Ivy,,23,10,74.7,67.5,7.24,,0.41,,0.18,4.45,4.63,108.51,101.46,7.05,2024
110,Georgia Tech,ACC,,14,18,71.0,75.2,-4.22,,8.82,,3.28,1.32,4.60,108.82,102.44,6.38,2024
111,Arizona State,Pac-12,,14,18,69.0,74.0,-4.97,,9.55,,0.29,4.30,4.58,103.75,97.48,6.27,2024
112,Southern Illinois,MVC,,19,13,72.7,68.2,4.44,,0.52,,-0.36,4.46,4.10,109.08,102.83,6.25,2024
113,Charlotte,AAC,,19,12,68.7,65.6,3.13,,2.42,,-3.45,7.53,4.09,108.19,102.01,6.19,2024
114,College of Charleston,CAA,,27,8,80.9,73.6,7.34,,-2.38,,7.26,-3.17,4.09,111.50,105.39,6.11,2024
115,Seattle,WAC,,23,14,73.8,66.8,7.00,,-1.64,,-0.29,4.32,4.03,105.07,98.82,6.24,2024
116,Northern Iowa,MVC,,19,14,73.2,71.1,2.15,,2.86,,1.22,2.61,3.83,108.51,103.11,5.40,2024
117,West Virginia,Big 12,,9,23,69.8,76.8,-7.03,,10.76,,3.46,0.27,3.73,109.17,103.74,5.44,2024
118,Tulane,AAC,,14,17,81.9,80.0,1.90,,2.68,,10.53,-6.88,3.65,110.67,105.74,4.93,2024
119,Davidson,A-10,,15,17,70.1,67.9,2.13,,3.30,,-1.44,5.07,3.63,105.94,100.30,5.64,2024
120,Cornell,Ivy,,22,8,82.1,74.7,7.40,,-1.59,,8.15,-4.56,3.58,111.39,106.64,4.75,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
121,Oregon State,Pac-12,,13,19,68.9,72.7,-3.81,,8.38,,-0.17,3.45,3.28,106.80,103.14,3.67,2024
122,Missouri,SEC,,8,24,72.2,76.2,-4.03,,7.30,,1.44,1.83,3.27,108.69,104.15,4.54,2024
123,Belmont,MVC,,20,13,77.9,75.5,2.33,,1.44,,5.41,-2.63,2.79,108.35,104.36,3.99,2024
124,Vermont,AEC,,28,7,71.6,63.0,8.60,,-3.31,,-5.30,8.08,2.78,104.97,100.48,4.48,2024
125,Akron,MAC,,24,11,73.6,66.2,7.46,,-2.08,,-2.24,5.00,2.77,105.60,101.54,4.06,2024
126,UT Arlington,WAC,,20,14,76.9,73.3,3.59,,0.69,,4.57,-2.19,2.38,107.74,103.92,3.82,2024
127,Hofstra,CAA,,20,13,74.2,68.5,5.76,,-1.98,,-1.09,3.40,2.31,106.49,102.72,3.78,2024
128,High Point,Big South,,27,9,83.9,74.4,9.44,,-4.83,,7.50,-5.35,2.15,113.17,109.84,3.32,2024
129,UC San Diego,Big West,,21,12,76.7,69.4,7.27,,-2.80,,1.32,0.72,2.04,109.65,106.75,2.90,2024
130,Oakland,Horizon,,24,12,76.4,73.2,3.25,,-1.24,,1.43,0.58,2.02,108.08,105.28,2.80,2024
131,Wichita State,AAC,,15,19,72.8,73.1,-0.26,,3.20,,-0.04,2.06,2.02,104.01,101.02,2.99,2024
132,Western Carolina,Southern,,22,10,76.8,68.7,8.16,,-3.35,,0.37,1.59,1.96,106.55,103.55,3.00,2024
133,Toledo,MAC,,20,12,80.0,76.1,3.88,,-2.09,,6.31,-4.53,1.78,111.27,108.66,2.61,2024
134,Liberty,CUSA,,18,14,73.8,65.5,8.31,,-1.56,,-1.01,2.59,1.58,109.29,106.30,2.99,2024
135,Tarleton State,WAC,,25,10,74.1,68.6,5.46,,-0.97,,0.19,1.22,1.40,107.74,105.51,2.23,2024
136,Troy,Sun Belt,,20,12,79.6,70.7,8.91,,-3.17,,2.96,-1.72,1.24,104.87,103.03,1.84,2024
137,UNC Wilmington,CAA,,21,10,79.4,71.0,8.35,,-2.90,,2.08,-0.87,1.21,110.78,108.38,2.41,2024
138,Western Kentucky,CUSA,,22,12,80.2,74.4,5.79,,-2.91,,5.91,-4.72,1.19,103.19,101.76,1.43,2024
139,Drexel,CAA,,20,12,73.3,66.6,6.75,,-3.64,,-2.80,3.93,1.14,105.36,102.97,2.38,2024
140,Missouri State,MVC,,17,16,71.2,71.3,-0.03,,1.01,,-0.47,1.45,0.98,103.11,101.93,1.19,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
141,Youngstown State,Horizon,,22,10,81.2,70.9,10.28,,-5.11,,2.07,-1.10,0.97,105.18,104.01,1.17,2024
142,Georgetown,Big East,,9,23,70.8,77.9,-7.03,,7.72,,2.69,-2.01,0.68,110.06,109.86,0.21,2024
143,Wyoming,MWC,,15,17,72.8,74.5,-1.63,,4.57,,1.15,-0.61,0.54,107.01,106.15,0.87,2024
144,South Dakota State,Summit,,22,13,76.4,71.1,5.29,,-2.70,,1.36,-0.84,0.52,107.29,105.79,1.50,2024
145,Morehead State,OVC,,26,9,75.3,63.4,11.86,,-5.52,,-3.49,4.01,0.51,106.08,104.04,2.04,2024
146,Ohio,MAC,,20,13,77.3,70.0,7.33,,-4.58,,1.40,-0.93,0.48,107.22,106.35,0.88,2024
147,Louisville,ACC,,8,24,72.0,79.1,-7.06,,7.51,,3.02,-2.58,0.45,106.25,106.10,0.16,2024
148,Murray State,MVC,,12,20,69.8,69.9,-0.16,,1.59,,-2.42,2.79,0.36,107.03,106.52,0.51,2024
149,Arkansas State,Sun Belt,,20,17,78.8,77.0,1.81,,-1.53,,4.00,-3.72,0.28,110.71,109.71,1.00,2024
150,Furman,Southern,,17,16,79.5,75.9,3.55,,-1.93,,4.03,-3.83,0.21,107.48,107.04,0.44,2024
151,Towson,CAA,,20,14,67.5,63.6,3.88,,-2.27,,-7.57,7.76,0.19,101.34,100.81,0.53,2024
152,Vanderbilt,SEC,,9,23,67.9,75.9,-7.97,,8.16,,-2.46,2.65,0.19,104.49,104.61,-0.12,2024
153,Loyola Marymount,WCC,,12,19,72.4,71.4,0.97,,0.31,,-1.52,1.46,-0.06,108.17,108.75,-0.58,2024
154,Hawaii,Big West,,20,14,72.3,68.7,3.56,,-2.57,,-2.18,2.11,-0.07,104.14,104.53,-0.39,2024
155,Chattanooga,Southern,,21,12,78.2,71.6,6.64,,-3.85,,1.73,-1.93,-0.21,108.17,108.18,-0.02,2024
156,Wright State,Horizon,,18,14,86.5,81.2,5.25,,-3.62,,11.50,-11.73,-0.22,114.37,115.18,-0.81,2024
157,UNC Greensboro,Southern,,21,11,75.7,69.8,5.91,,-2.90,,-1.57,1.31,-0.27,106.93,107.16,-0.23,2024
158,Colgate,Patriot,,25,10,71.4,64.1,7.31,,-5.55,,-3.90,3.59,-0.31,102.85,103.07,-0.22,2024
159,Sam Houston,CUSA,,21,12,72.2,69.2,3.00,,-1.72,,-1.02,0.65,-0.37,103.31,103.35,-0.04,2024
160,Fordham,A-10,,13,20,70.5,72.4,-1.94,,1.48,,-0.91,0.46,-0.46,100.07,100.92,-0.85,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
161,Weber State,Big Sky,,20,12,75.4,67.5,7.91,,-4.15,,-1.24,0.75,-0.49,107.25,107.93,-0.68,2024
162,Louisiana,Sun Belt,,19,14,75.9,71.7,4.21,,-2.67,,-0.51,-0.09,-0.60,104.02,104.49,-0.47,2024
163,East Carolina,AAC,,15,18,69.3,70.3,-0.97,,1.32,,-3.46,2.84,-0.62,104.03,104.88,-0.85,2024
164,Purdue Fort Wayne,Horizon,,23,13,80.2,71.6,8.58,,-6.09,,1.73,-2.47,-0.74,102.99,104.31,-1.33,2024
165,Kent State,MAC,,17,17,74.8,71.3,3.53,,-2.54,,-0.17,-0.59,-0.76,105.61,106.29,-0.68,2024
166,St. Thomas,Summit,,20,13,72.8,64.8,7.94,,-5.72,,-5.50,4.58,-0.92,105.25,105.75,-0.50,2024
167,Stephen F. Austin,WAC,,18,15,74.6,71.3,3.33,,-1.76,,-0.82,-0.14,-0.95,100.48,102.18,-1.70,2024
168,Eastern Washington,Big Sky,,21,11,80.8,75.2,5.59,,-2.99,,5.61,-6.64,-1.03,109.65,110.77,-1.13,2024
169,George Washington,A-10,,15,17,76.8,77.3,-0.47,,-0.06,,5.03,-6.06,-1.03,105.56,107.36,-1.79,2024
170,Long Beach State,Big West,,21,15,77.4,76.0,1.42,,-1.19,,3.92,-5.11,-1.19,104.65,106.32,-1.68,2024
171,Tulsa,AAC,,16,15,75.0,73.9,1.13,,-1.00,,1.08,-2.29,-1.20,102.07,103.37,-1.30,2024
172,Temple,AAC,,16,20,70.9,72.9,-2.03,,1.68,,-2.02,0.76,-1.26,101.66,103.43,-1.77,2024
173,Massachusetts-Lowell,AEC,,22,10,80.0,70.7,9.38,,-6.07,,1.72,-3.00,-1.28,103.24,105.23,-2.00,2024
174,UC Davis,Big West,,20,13,71.2,68.1,3.18,,-2.85,,-3.38,2.05,-1.33,100.84,102.68,-1.85,2024
175,Utah Valley,WAC,,16,16,68.7,68.6,0.13,,-0.03,,-4.75,3.42,-1.33,97.86,99.14,-1.28,2024
176,Illinois State,MVC,,15,17,66.5,67.7,-1.16,,0.43,,-7.20,5.82,-1.38,101.32,103.59,-2.27,2024
177,Montana,Big Sky,,24,12,76.9,71.8,5.06,,-4.11,,0.60,-2.01,-1.41,108.53,110.46,-1.93,2024
178,UTEP,CUSA,,18,16,72.6,69.1,3.59,,-1.30,,-3.52,2.02,-1.49,97.41,99.32,-1.91,2024
179,Saint Louis,A-10,,13,20,74.9,79.4,-4.45,,4.15,,4.87,-6.44,-1.57,110.10,112.21,-2.11,2024
180,Illinois-Chicago,MVC,,12,21,70.3,71.5,-1.27,,1.30,,-2.00,0.39,-1.61,99.27,101.49,-2.23,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
181,La Salle,A-10,,16,17,72.7,73.1,-0.39,,0.85,,-0.21,-1.41,-1.62,104.43,106.40,-1.97,2024
182,Delaware,CAA,,19,14,73.2,69.7,3.55,,-4.30,,-1.93,0.25,-1.68,102.50,104.52,-2.02,2024
183,UNC Asheville,Big South,,22,12,78.9,73.1,5.79,,-2.99,,0.79,-2.71,-1.92,105.25,108.00,-2.75,2024
184,Lipscomb,A-Sun,,20,12,82.1,76.5,5.56,,-5.04,,4.04,-5.97,-1.94,110.11,112.68,-2.57,2024
185,Winthrop,Big South,,17,15,77.3,71.5,5.88,,-3.42,,0.30,-2.27,-1.97,104.91,107.65,-2.75,2024
186,Longwood,Big South,,21,14,74.7,68.5,6.26,,-4.76,,-2.59,0.55,-2.04,103.26,106.03,-2.76,2024
187,Pepperdine,WCC,,13,20,72.8,74.0,-1.21,,0.70,,-0.04,-2.09,-2.14,105.74,108.94,-3.20,2024
188,Rhode Island,A-10,,12,20,72.6,76.3,-3.78,,2.87,,1.28,-3.54,-2.26,105.88,109.14,-3.26,2024
189,California Baptist,WAC,,16,17,67.3,66.6,0.76,,-2.26,,-6.37,4.05,-2.32,102.11,105.18,-3.07,2024
190,Stony Brook,CAA,,20,15,73.5,72.3,1.20,,-2.62,,0.20,-2.79,-2.59,103.85,107.17,-3.32,2024
191,Bryant,AEC,,20,13,78.7,75.4,3.33,,-3.54,,1.83,-4.89,-3.06,97.81,102.04,-4.23,2024
192,Quinnipiac,MAAC,,24,10,77.4,71.2,6.12,,-7.32,,1.55,-4.64,-3.08,102.72,106.85,-4.13,2024
193,East Tennessee State,Southern,,19,16,71.5,69.6,1.91,,-2.74,,-4.23,1.12,-3.11,100.66,104.95,-4.29,2024
194,Fairfield,MAAC,,24,13,75.5,71.0,4.54,,-6.53,,0.70,-3.87,-3.17,105.94,110.21,-4.28,2024
195,Monmouth,CAA,,18,15,72.4,72.6,-0.18,,-2.98,,-1.50,-1.67,-3.17,103.64,108.35,-4.71,2024
196,UC Santa Barbara,Big West,,16,15,75.4,73.5,1.84,,-3.01,,-0.45,-2.73,-3.19,104.62,109.22,-4.60,2024
197,Rice,AAC,,11,21,72.0,75.7,-3.66,,1.97,,-1.51,-1.72,-3.22,104.84,109.37,-4.53,2024
198,Fresno State,MWC,,12,21,67.7,73.9,-6.24,,3.50,,-3.42,0.14,-3.29,102.92,107.99,-5.07,2024
199,Pennsylvania,Ivy,,11,18,74.4,74.4,0.07,,0.26,,-0.25,-3.08,-3.33,106.39,111.35,-4.95,2024
200,Little Rock,OVC,,21,13,77.3,72.5,4.82,,-8.24,,1.18,-4.60,-3.42,104.80,109.08,-4.28,2024
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2024
201,Cleveland State,Horizon,,21,15,75.5,72.8,2.64,,-4.44,,-1.00,-2.47,-3.47,103.73,108.61,-4.88,2024
202,Jacksonville State,CUSA,,14,18,70.0,66.4,3.56,,-3.14,,-7.18,3.63,-3.55,99.97,104.63,-4.66,2024
203,Brown,Ivy,,13,18,71.4,71.8,-0.48,,-1.73,,-2.15,-1.45,-3.60,101.82,107.15,-5.33,2024
204,Northern Kentucky,Horizon,,18,15,74.8,73.2,1.64,,-3.73,,-1.80,-1.86,-3.66,100.87,106.23,-5.36,2024
205,Evansville,MVC,,17,18,70.9,73.2,-2.31,,0.75,,-2.34,-1.35,-3.69,100.47,105.63,-5.16,2024
206,Texas State,Sun Belt,,17,18,69.9,70.1,-0.20,,-0.74,,-6.33,2.63,-3.71,97.72,102.74,-5.02,2024
207,San Jose State,MWC,,9,23,69.6,75.1,-5.47,,3.28,,-2.61,-1.21,-3.82,104.09,109.98,-5.90,2024
