game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
400986048,20171111,2018,2,False,False,9314,Cameron Indoor Stadium,True,Duke Blue Devils,150,99,1,Utah Valley Wolverines,3084,69,99,home,168,30
400986049,20171111,2018,2,False,False,10194,Wintrust Arena,True,DePaul Blue Demons,305,58,99,Notre Dame Fighting Irish,87,72,14,away,130,14
400990710,20171111,2018,2,False,False,3276,University Credit Union Pavilion,True,Saint Mary's Gaels,2608,85,22,Saint Francis Red Flash,2598,68,99,home,153,17
400991056,20171111,2018,2,False,False,1672,Total Mortgage Arena,True,Fairfield Stags,2217,80,99,Pennsylvania Quakers,219,72,99,home,152,8
400990109,20171111,2018,2,False,False,3279,Alumni Arena,True,Buffalo Bulls,2084,80,99,Canisius Golden Griffins,2099,75,99,home,155,5
400989554,20171111,2018,2,False,False,4335,Alico Arena,True,Florida Gulf Coast Eagles,526,98,99,Illinois State Redbirds,2287,87,99,home,185,11
400991057,20171111,2018,2,False,False,2724,M&T Bank Arena,True,Quinnipiac Bobcats,2514,78,99,Dartmouth Big Green,159,77,99,home,155,1
400990538,20171111,2018,2,False,False,1871,University Arena (MI),True,Western Michigan Broncos,2711,103,99,Siena Heights Saints,2562,72,99,home,175,31
400990110,20171111,2018,2,False,False,0,Convocation Center (OH),True,Ohio Bobcats,195,61,99,Alabama A&M Bulldogs,2010,53,99,home,114,8
400989555,20171111,2018,2,False,False,4936,Carver Arena,True,Bradley Braves,71,68,99,IU Indianapolis Jaguars,85,53,99,home,121,15
400991594,20171111,2018,2,False,False,557,Pizzitola Sports Center,True,Brown Bears,225,106,99,Johnson & Wales (RI) Griffins,353,78,99,home,184,28
400990068,20171111,2018,2,False,False,2822,Tom Gola Arena,True,La Salle Explorers,2325,61,99,Saint Peter's Peacocks,2612,40,99,home,101,21
400989556,20171111,2018,2,False,False,2685,Knapp Center,True,Drake Bulldogs,2181,101,99,Coe Kohawks,2141,54,99,home,155,47
400988886,20171111,2018,2,False,False,1412,Willett Hall,True,Longwood Lancers,2344,61,99,Stephen F. Austin Lumberjacks,2617,74,99,away,135,13
400990356,20171111,2018,2,False,False,872,Holmes Convocation Center,True,App State Mountaineers,2026,135,99,Toccoa Falls Eagles,2648,34,99,home,169,101
400990357,20171111,2018,2,False,False,0,Jack Stephens Center,True,Little Rock Trojans,2031,79,99,Ouachita Baptist Tigers,2888,81,99,away,160,2
400989287,20171111,2018,2,False,False,1892,The Thunderdome,True,UC Santa Barbara Gauchos,2540,85,99,North Dakota State Bison,2449,66,99,home,151,19
400989836,20171111,2018,2,False,False,1833,UPMC Cooper Fieldhouse,True,Duquesne Dukes,2184,80,99,St. Francis Brooklyn Terriers,2597,70,99,home,150,10
