game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
400949827,2017-05-02,2017,Indiana Fever,Washington Mystics,67,87,Washington Mystics,154,20,Corteva Coliseum,False,False
400949828,2017-05-02,2017,New York Liberty,Los Angeles Sparks,81,65,New York Liberty,146,16,Mohegan Sun Arena,True,False
400949829,2017-05-02,2017,Connecticut Sun,Chicago Sky,81,72,Connecticut Sun,153,9,Mohegan Sun Arena,False,False
400949830,2017-05-03,2017,Seattle Storm,Phoenix Mercury,86,64,Seattle Storm,150,22,KeyArena,False,False
400949831,2017-05-03,2017,New York Liberty,Chicago Sky,75,86,Chicago Sky,161,11,Mohegan Sun Arena,True,False
400949832,2017-05-03,2017,Connecticut Sun,Los Angeles Sparks,79,62,Connecticut Sun,141,17,Mohegan Sun Arena,False,False
400949808,2017-05-06,2017,Minnesota Lynx,Atlanta Dream,113,67,Minnesota Lynx,180,46,Grand Casino Arena,False,False
400949809,2017-05-06,2017,Los Angeles Sparks,San Antonio Stars,73,59,Los Angeles Sparks,132,14,Hutto-Patterson Gymnasium,False,False
400949810,2017-05-07,2017,Dallas Wings,Indiana Fever,80,75,Dallas Wings,155,5,College Park Center,False,False
400949811,2017-05-07,2017,New York Liberty,Connecticut Sun,57,79,Connecticut Sun,136,22,Levien Gymnasium,True,False
400949812,2017-05-07,2017,Phoenix Mercury,Seattle Storm,72,55,Phoenix Mercury,127,17,Mortgage Matchup Center,False,False
400949813,2017-05-08,2017,Washington Mystics,Minnesota Lynx,59,74,Minnesota Lynx,133,15,Capital One Arena,False,False
400927392,2017-05-13,2017,New York Liberty,San Antonio Stars,73,64,New York Liberty,137,9,Madison Square Garden,False,False
400927393,2017-05-13,2017,Los Angeles Sparks,Seattle Storm,78,68,Los Angeles Sparks,146,10,crypto.com Arena,False,False
400927394,2017-05-13,2017,Connecticut Sun,Atlanta Dream,74,81,Atlanta Dream,155,7,Mohegan Sun Arena,False,False
400927395,2017-05-14,2017,Washington Mystics,San Antonio Stars,89,74,Washington Mystics,163,15,Capital One Arena,False,False
400927396,2017-05-14,2017,Phoenix Mercury,Dallas Wings,58,68,Dallas Wings,126,10,Mortgage Matchup Center,False,False
400927397,2017-05-14,2017,Seattle Storm,Indiana Fever,87,82,Seattle Storm,169,5,KeyArena,False,False
400927398,2017-05-14,2017,Minnesota Lynx,Chicago Sky,70,61,Minnesota Lynx,131,9,Grand Casino Arena,False,False
400927399,2017-05-18,2017,Phoenix Mercury,Indiana Fever,85,62,Phoenix Mercury,147,23,Mortgage Matchup Center,False,False
400927400,2017-05-18,2017,New York Liberty,Minnesota Lynx,71,90,Minnesota Lynx,161,19,Madison Square Garden,False,False
400927401,2017-05-20,2017,San Antonio Stars,Phoenix Mercury,72,78,Phoenix Mercury,150,6,Frost Bank Center,False,False
400927402,2017-05-20,2017,Chicago Sky,Atlanta Dream,83,91,Atlanta Dream,174,8,Allstate Arena,False,False
400927403,2017-05-20,2017,Los Angeles Sparks,Washington Mystics,99,89,Los Angeles Sparks,188,10,crypto.com Arena,False,False
400927404,2017-05-20,2017,Indiana Fever,Connecticut Sun,81,79,Indiana Fever,160,2,Gainbridge Fieldhouse,False,False
400927405,2017-05-21,2017,Dallas Wings,Minnesota Lynx,87,89,Minnesota Lynx,176,2,College Park Center,False,False
400927406,2017-05-21,2017,Atlanta Dream,Chicago Sky,71,75,Chicago Sky,146,4,McCamish Pavilion,False,False
400927407,2017-05-21,2017,Seattle Storm,Washington Mystics,81,71,Seattle Storm,152,10,KeyArena,False,False
400927408,2017-05-24,2017,Minnesota Lynx,Connecticut Sun,80,78,Minnesota Lynx,158,2,Grand Casino Arena,False,False
400927409,2017-05-24,2017,Phoenix Mercury,New York Liberty,67,69,New York Liberty,136,2,Mortgage Matchup Center,False,False
400927410,2017-05-24,2017,Chicago Sky,Washington Mystics,67,82,Washington Mystics,149,15,Allstate Arena,False,False
400927411,2017-05-24,2017,Indiana Fever,Los Angeles Sparks,93,90,Indiana Fever,183,3,Gainbridge Fieldhouse,False,False
400927412,2017-05-25,2017,San Antonio Stars,Dallas Wings,82,94,Dallas Wings,176,12,Frost Bank Center,False,False
400927413,2017-05-26,2017,Connecticut Sun,Minnesota Lynx,68,82,Minnesota Lynx,150,14,Mohegan Sun Arena,False,False
400927414,2017-05-26,2017,Washington Mystics,Chicago Sky,88,79,Washington Mystics,167,9,Capital One Arena,False,False
400927415,2017-05-27,2017,Seattle Storm,New York Liberty,87,81,Seattle Storm,168,6,KeyArena,False,False
400927416,2017-05-27,2017,Atlanta Dream,Los Angeles Sparks,75,73,Atlanta Dream,148,2,McCamish Pavilion,False,False
400927417,2017-05-28,2017,Phoenix Mercury,Dallas Wings,107,65,Phoenix Mercury,172,42,Mortgage Matchup Center,False,False
400927418,2017-05-28,2017,Chicago Sky,Connecticut Sun,79,97,Connecticut Sun,176,18,Allstate Arena,False,False
400927419,2017-05-28,2017,Seattle Storm,Indiana Fever,94,70,Seattle Storm,164,24,KeyArena,False,False
400927420,2017-05-28,2017,Minnesota Lynx,San Antonio Stars,80,66,Minnesota Lynx,146,14,Grand Casino Arena,False,False
400927421,2017-05-30,2017,New York Liberty,Los Angeles Sparks,75,90,Los Angeles Sparks,165,15,Madison Square Garden,False,False
400927422,2017-05-31,2017,Dallas Wings,Indiana Fever,89,62,Dallas Wings,151,27,College Park Center,False,False
400927423,2017-05-31,2017,Washington Mystics,Connecticut Sun,78,76,Washington Mystics,154,2,Capital One Arena,False,False
400927424,2017-05-31,2017,Atlanta Dream,San Antonio Stars,77,70,Atlanta Dream,147,7,McCamish Pavilion,False,False
400927425,2017-06-02,2017,Chicago Sky,Phoenix Mercury,91,99,Phoenix Mercury,190,8,Allstate Arena,False,False
400927426,2017-06-02,2017,New York Liberty,Dallas Wings,93,89,New York Liberty,182,4,Madison Square Garden,False,False
400927427,2017-06-03,2017,Indiana Fever,Dallas Wings,91,85,Indiana Fever,176,6,Gainbridge Fieldhouse,False,False
400927428,2017-06-04,2017,San Antonio Stars,Connecticut Sun,77,85,Connecticut Sun,162,8,Frost Bank Center,False,False
400927429,2017-06-04,2017,Seattle Storm,Minnesota Lynx,77,100,Minnesota Lynx,177,23,KeyArena,False,False
400927430,2017-06-04,2017,New York Liberty,Phoenix Mercury,88,72,New York Liberty,160,16,Madison Square Garden,False,False
400927431,2017-06-04,2017,Washington Mystics,Atlanta Dream,78,72,Washington Mystics,150,6,Capital One Arena,False,False
400927432,2017-06-07,2017,Dallas Wings,Washington Mystics,89,101,Washington Mystics,190,12,College Park Center,False,False
400927433,2017-06-07,2017,San Antonio Stars,Seattle Storm,76,85,Seattle Storm,161,9,Frost Bank Center,False,False
400927434,2017-06-07,2017,Los Angeles Sparks,Chicago Sky,79,70,Los Angeles Sparks,149,9,crypto.com Arena,False,False
400927435,2017-06-07,2017,New York Liberty,Atlanta Dream,76,61,New York Liberty,137,15,Madison Square Garden,False,False
400927436,2017-06-07,2017,Indiana Fever,Phoenix Mercury,90,98,Phoenix Mercury,188,8,Gainbridge Fieldhouse,False,False
400927437,2017-06-09,2017,Washington Mystics,Minnesota Lynx,73,98,Minnesota Lynx,171,25,Capital One Arena,False,False
400927438,2017-06-09,2017,Indiana Fever,Seattle Storm,83,80,Indiana Fever,163,3,Gainbridge Fieldhouse,False,False
400927439,2017-06-10,2017,Dallas Wings,Los Angeles Sparks,96,90,Dallas Wings,186,6,College Park Center,False,False
400927440,2017-06-10,2017,Connecticut Sun,Atlanta Dream,104,71,Connecticut Sun,175,33,Mohegan Sun Arena,False,False
400927441,2017-06-11,2017,San Antonio Stars,Chicago Sky,81,85,Chicago Sky,166,4,Frost Bank Center,False,False
400927442,2017-06-11,2017,Phoenix Mercury,Los Angeles Sparks,87,89,Los Angeles Sparks,176,2,Mortgage Matchup Center,False,False
400927443,2017-06-11,2017,New York Liberty,Seattle Storm,94,86,New York Liberty,180,8,Madison Square Garden,False,False
400927444,2017-06-11,2017,Washington Mystics,Indiana Fever,88,70,Washington Mystics,158,18,Capital One Arena,False,False
400927445,2017-06-11,2017,Dallas Wings,Minnesota Lynx,74,91,Minnesota Lynx,165,17,College Park Center,False,False
400927446,2017-06-14,2017,Seattle Storm,Atlanta Dream,86,91,Atlanta Dream,177,5,KeyArena,False,False
400927447,2017-06-14,2017,Los Angeles Sparks,Dallas Wings,97,87,Los Angeles Sparks,184,10,crypto.com Arena,False,False
400927448,2017-06-14,2017,Connecticut Sun,New York Liberty,96,76,Connecticut Sun,172,20,Mohegan Sun Arena,False,False
400927449,2017-06-15,2017,Indiana Fever,Atlanta Dream,85,74,Indiana Fever,159,11,Gainbridge Fieldhouse,False,False
400927450,2017-06-16,2017,Los Angeles Sparks,San Antonio Stars,80,75,Los Angeles Sparks,155,5,crypto.com Arena,False,False
400927451,2017-06-17,2017,Dallas Wings,New York Liberty,93,102,New York Liberty,195,9,College Park Center,False,False
400927452,2017-06-17,2017,Phoenix Mercury,Chicago Sky,86,78,Phoenix Mercury,164,8,Mortgage Matchup Center,False,False
